dataset_id,name,species,technology,n_sections,accession,doi,url,license,source,source_arg,source_arg2,access,notes
openst_lymphnode_3d,Open-ST human metastatic lymph node 3D (Schott 2024),human,Open-ST,19,GSE251926 / PRJNA1097649,10.1016/j.cell.2024.05.055,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE251926,GEO (human seq-level data may be controlled-access; processed cell matrices used),geo,GSE251926,,auto-processed,Only processed cell-level matrices used; raw sequence data may require dbGaP/EGA authorization
cerebellum_crossspecies_spatial,Cross-species cerebellar cortex spatial atlas (mouse/marmoset/macaque),mouse+marmoset+macaque,Stereo-seq + snRNA,many,CNP0003779 / CNP0005746,10.1126/science.ado3927,https://www.science.org/doi/10.1126/science.ado3927,verify (confirm CNGB/GSA terms before redistribution),manual,CNP0003779,CNP0005746,manual,CNP raw-data project (not a STOmicsDB collection); obtain via CNGB/GSA per publisher data-availability. License unverified.
artista_axolotl_brain,ARTISTA: Axolotl telencephalon development/regeneration,axolotl,Stereo-seq,many,CNP0002068 / STDS0000056,10.1126/science.abp9444,https://db.cngb.org/stomics/artista/,CNGB terms,cngb,STDS0000056,artista,auto,Slug/enumeration live-verified 2026-07: 127 file(s) resolved via download.py.
zesta_zebrafish,ZESTA: Zebrafish Embryogenesis Spatiotemporal Transcriptomic Atlas,zebrafish,Stereo-seq,91 (6 timepoints),CNP0002220 / STDS0000057,10.1016/j.devcel.2022.04.009,https://db.cngb.org/stomics/zesta/,CNGB terms,cngb,STDS0000057,zesta,auto,Slug/enumeration live-verified 2026-07: 13 file(s) resolved via download.py.
digital_mouse_embryo_seu3d,"Digital reconstruction of full mouse embryos E7.5-E8.0 (SEU-3D, Xie 2025)",mouse,Stereo-seq,285 (6 embryos),GSE278603,10.1016/j.cell.2025.05.035,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE278603,GEO (CC-BY),geo,GSE278603,,auto,
mosta_mouse_embryo,MOSTA: Mouse Organogenesis Spatiotemporal Transcriptomic Atlas,mouse,Stereo-seq,53,CNP0001543 / STDS0000058,10.1016/j.cell.2022.04.003,https://db.cngb.org/stomics/mosta/,CNGB terms,cngb,STDS0000058,mosta,auto,Slug/enumeration live-verified 2026-07: 185 file(s) resolved via download.py.
whole_mouse_embryo_3d_cngb,3D transcriptomics maps of whole mouse embryo during organogenesis (bioRxiv 2024),mouse,Stereo-seq,many,CNP0005981,10.1101/2024.08.17.608366,https://db.cngb.org/search/?q=CNP0005981,CNGB terms,manual,CNP0005981,,manual,CNSA project (not a STOmicsDB collection slug); obtain via CNGB CNSA search for CNP0005981.
flysta3d_drosophila,Flysta3D: 3D transcriptomic maps of Drosophila embryo/larva,drosophila,Stereo-seq,many,CNP0002189 / STDS0000060,10.1016/j.devcel.2022.04.006,https://db.cngb.org/stomics/flysta3d/,CNGB terms,cngb,STDS0000060,flysta3d,auto,Slug/enumeration live-verified 2026-07: 5 file(s) resolved via download.py.
flysta3d_v2_drosophila,Flysta3D-v2: Drosophila single-cell 3D multi-omics atlas (embryo-pupa),drosophila,Stereo-seq + scRNA + scATAC,many,STDS0000398,10.1016/j.cell.2025.05.047,https://db.cngb.org/stomics/flysta3d-v2/,CNGB terms,cngb,STDS0000398,flysta3d-v2,auto,"All 80 files used here (Stereo-seq + scRNA + scATAC, incl. ATAC_CNS/ATAC_whole_embedding) are served by CNGB collection STDS0000398 — verified: local file set == CNGB enumeration, 80/80 exact match. A Mendeley Data mirror also exists (doi:10.17632/tvvjfr3c6j.1, 'multi-omics atlas Part 1') but is NOT required."
prista4d_planarian,PRISTA4D: 4D single-cell spatiotemporal atlas of planarian regeneration,planaria (S. mediterranea),Stereo-seq,serial (space+time),STT0000028,10.1093/gigascience/giag064,https://db.cngb.org/stomics/prista4d/,CNGB terms,cngb,STT0000028,prista4d,auto,Enumerated via db.cngb.org portal download page (slug prista4d). Slug/enumeration live-verified 2026-07: 34 file(s) resolved via download.py.
acsta_arabidopsis,ACSTA: Arabidopsis Cell-type-specific Spatiotemporal Transcriptomic Atlas,arabidopsis,Stereo-seq,many,STDS0000104,10.1016/j.devcel.2022.04.011,https://db.cngb.org/stomics/acsta/,CNGB terms,cngb,STDS0000104,acsta,auto,Slug/enumeration live-verified 2026-07: 26 file(s) resolved via download.py.
