dataset,domain,stratum,n_stratum_cells,n_domain_cells,n_band,genuine_frac,n_survive,n_tested,max_abs_lfc,top_genes,truth_survive,truth_tested
artista_axolotl_brain,VLMC,10DPI,29042,4755,1585,0.1938,3,12,0.4511,ZIC1 | AMEX60DD001970;COX1 | AMEX60DD020312;LOC101933128[nr] | AMEX60DD047408;D9C73_028514[nr] | AMEX60DD046986;DR999_PMT17066[nr] | AMEX60DD050938;LOC114667284[nr]|APOA4[hs] | AMEX60DD018142,3,12
artista_axolotl_brain,VLMC,15DPI,39103,6274,2092,0.2722,6,12,0.2961,AMEX60DD040542;ID4 | AMEX60DD038483;nan | AMEX60DD016339;COL18A1[nr] | AMEX60DD055544;RPS11 | AMEX60DD016360;RPS23 | AMEX60DD042493,6,12
artista_axolotl_brain,VLMC,20DPI,32829,3889,1297,0.1999,5,12,0.6934,LOC113837993[nr] | AMEX60DD049216;LOC113837993[nr] | AMEX60DD028608;TUBB3.L[nr]|TUBB3[hs] | AMEX60DD017045;SMAX5B_007995[nr]|TUBB2B[hs] | AMEX60DD038356;NSG2 | AMEX60DD028745;RTN1 | AMEX60DD011863,5,12
artista_axolotl_brain,VLMC,2DPI,24598,3816,1272,0.1945,8,12,0.3905,CHGA | AMEX60DD011371;CPE | AMEX60DD045225;ALDOA[hs] | AMEX60DD028369;LOC115076794[nr]|GRIK2[hs] | AMEX60DD051344;CCER2[nr]|CHGA[hs] | AMEX60DD024290;NPTXR | AMEX60DD029261,8,12
artista_axolotl_brain,VLMC,5DPI,24656,3112,1038,0.1717,8,12,0.982,LOC115075212[nr]|CTSV[hs] | AMEX60DD007096;LOC115468243[nr]|HPX[hs] | AMEX60DD050094;APOC1[nr] | AMEX60DD018145;DR999_PMT17066[nr] | AMEX60DD050938;LOC114667284[nr]|APOA4[hs] | AMEX60DD018142;DR999_PMT20966[nr]|APOE[hs] | AMEX60DD018143,8,12
artista_axolotl_brain,MSN,10DPI,29042,3590,1197,0.5289,12,12,0.4085,SMAX5B_007995[nr]|TUBB4B[hs] | AMEX60DD032108;LOC101931671[nr]|CLSTN1[hs] | AMEX60DD051174;CAMK2N1 | AMEX60DD051529;DNER | AMEX60DD002010;TAC1 | AMEX60DD022344;SMAX5B_007995[nr]|TUBB2B[hs] | AMEX60DD038356,12,12
artista_axolotl_brain,MSN,15DPI,39103,4504,1502,0.5423,9,12,0.4542,PAWR | AMEX60DD007620;FSIP2 | AMEX60DD038121;AMEX60DD038951;nan | AMEX60DD021657;LGI2 | AMEX60DD045756;AMEX60DD000806,9,12
artista_axolotl_brain,MSN,20DPI,32829,3980,1327,0.4892,10,12,0.3256,HB-AM[nr]|GLNC1[hs] | AMEX60DD026267;GLUL.L[nr]|GLUL[hs] | AMEX60DD050853;H1-3[hs] | AMEX60DD007182;LOC115079518[nr]|C11ORF96[hs] | AMEX60DDU001000985;SLC1A3 | AMEX60DD041912;AMEX60DD017849,10,12
artista_axolotl_brain,MSN,2DPI,24598,2568,856,0.6308,2,12,0.3405,AMEX60DD032133;LOC100336828[nr] | AMEX60DD047575;AMEX60DD000806;LOC100336538[nr] | AMEX60DD053164;LOC113837993[nr] | AMEX60DD011601;CHK1[nr] | AMEX60DDU001038200,2,12
artista_axolotl_brain,MSN,5DPI,24656,2493,831,0.5665,11,12,0.2955,AMEX60DD018819;AMEX60DD000806;LOC112147674[nr]|RPL38[hs] | AMEX60DD031285;GLUL.L[nr]|GLUL[hs] | AMEX60DD050853;SLC1A3 | AMEX60DD041912;AMEX60DD017849,11,12
