gene,mean_bulge,mean_dent,lfc,p_geomnull,null_sd,interface,dataset,specimen
ATMG00030,4.059528,3.7159646,0.34356332,0.0348258706467661,0.0293377276464337,epidermis|rest,acsta_arabidopsis,
ATMG00020,4.426841,4.1139703,0.3128705,0.1293532338308457,0.0331034183088295,epidermis|rest,acsta_arabidopsis,
ATCG00270,2.3513846,2.0469763,0.3044083,0.4875621890547263,0.0415698973373476,epidermis|rest,acsta_arabidopsis,
ATCG00950,1.9693828,1.6991578,0.27022493,0.9104477611940298,0.0380517386463195,epidermis|rest,acsta_arabidopsis,
ATCG00450,1.3021239,1.0479277,0.25419617,0.2885572139303483,0.0388445878070453,epidermis|rest,acsta_arabidopsis,
ATCG00920,1.853971,1.6026874,0.25128365,0.7213930348258707,0.034926613280293,epidermis|rest,acsta_arabidopsis,
ATCG00280,3.9542272,3.7276282,0.22659898,,,epidermis|rest,acsta_arabidopsis,
ATCG00100,1.4590222,1.2343056,0.22471654,,,epidermis|rest,acsta_arabidopsis,
ATCG00570,2.3285804,2.107664,0.22091627,,,epidermis|rest,acsta_arabidopsis,
ATCG00680,3.4227397,3.2066274,0.21611238,,,epidermis|rest,acsta_arabidopsis,
ATCG01180,2.289293,2.0775635,0.21172953,,,epidermis|rest,acsta_arabidopsis,
ATCG00140,2.1204503,1.9111093,0.20934093,,,epidermis|rest,acsta_arabidopsis,
ATCG00130,2.3368306,2.1371558,0.19967484,,,epidermis|rest,acsta_arabidopsis,
ATCG00350,2.4115012,2.2121696,0.19933152,,,epidermis|rest,acsta_arabidopsis,
ATCG00580,2.9498875,2.752147,0.19774055,,,epidermis|rest,acsta_arabidopsis,
ATCG01100,1.300907,1.1048805,0.19602656,,,epidermis|rest,acsta_arabidopsis,
ATCG00400,0.93064874,0.7348118,0.19583696,,,epidermis|rest,acsta_arabidopsis,
ATCG00480,1.7124084,1.5182817,0.19412673,,,epidermis|rest,acsta_arabidopsis,
ATCG00540,1.3354135,1.1500375,0.18537593,,,epidermis|rest,acsta_arabidopsis,
ATMG01390,3.2813358,3.0966103,0.18472552,,,epidermis|rest,acsta_arabidopsis,
ATCG00430,1.0683604,0.8954928,0.17286766,,,epidermis|rest,acsta_arabidopsis,
ATCG01210,1.9984651,1.8283534,0.17011166,,,epidermis|rest,acsta_arabidopsis,
ATCG00490,4.8032365,4.63363,0.16960669,,,epidermis|rest,acsta_arabidopsis,
ATCG00560,2.1421893,1.9751405,0.16704881,,,epidermis|rest,acsta_arabidopsis,
ATCG00120,1.6894069,1.5270869,0.16232002,,,epidermis|rest,acsta_arabidopsis,
ATCG00030,1.2259535,1.0675423,0.15841115,,,epidermis|rest,acsta_arabidopsis,
