interface,done,n_domain_cells,n_stratum_cells,stratum,n_strata,rho_defs,n_genes,max_abs_lfc,n_null_sig,n_null_tested,mesh_verts,watertight,dataset,specimen,stage,frac_sig
epidermis|rest,True,6317,6317,all,1,0.2508598130368272,1518,0.3435633182525635,4,12,11472,True,acsta_arabidopsis,,,0.3333333333333333
VLMC,,28661,6274,15DPI,13,0.2068050193862098,5883,0.3694826364517212,12,12,9206,True,artista_axolotl_brain,,,1.0
MSN,,22728,4504,15DPI,11,0.4935773493177821,8380,0.4892723560333252,10,12,8224,True,artista_axolotl_brain,,,0.8333333333333334
CMPN,,18978,4740,15DPI,10,0.3476268566166861,7932,0.2084583640098571,4,12,6680,True,artista_axolotl_brain,,,0.3333333333333333
mpEX,,16480,3231,15DPI,10,0.2905554120676422,7809,0.4482911229133606,8,12,5842,True,artista_axolotl_brain,,,0.6666666666666666
molecular layer|rest,,4236478,4236478,all,1,0.5223556443843157,555,2.272113084793091,5,12,9912,True,cerebellum_crossspecies_spatial,,,0.4166666666666667
granular layer|rest,,2339613,2339613,all,1,0.5369401986913581,3039,3.764741897583008,6,12,9548,True,cerebellum_crossspecies_spatial,,,0.5
purkinje layer|rest,,901107,901107,all,1,0.5319198743858998,2611,2.202134132385254,6,12,9710,True,cerebellum_crossspecies_spatial,,,0.5
white matter|rest,,903067,903067,all,1,0.552932442704085,433,0.6459183692932129,1,12,9218,True,cerebellum_crossspecies_spatial,,,0.08333333333333333
ExE endoderm,,16011,4821,E8p0rep2,6,0.7864802124858679,3400,0.1546441138250014,9,12,7627,True,digital_mouse_embryo_seu3d,,,0.75
Rostral neurectoderm,,15781,4189,E7p75rep1,6,0.7374524242127404,3614,0.4745744474413325,0,12,3984,True,digital_mouse_embryo_seu3d,,,0.0
Paraxial mesoderm,,9274,3887,E8p0rep2,6,0.797480342481952,3366,0.2703092914647523,3,12,3160,True,digital_mouse_embryo_seu3d,,,0.25
Gut,,7421,2761,E8p0rep2,6,0.8143239308059141,3355,0.1916542194822771,8,12,4852,True,digital_mouse_embryo_seu3d,,,0.6666666666666666
midgut,,49271,29012,L2,5,0.5950379732892848,1135,0.7886166572570801,11,12,6458,True,flysta3d_drosophila,,,0.9166666666666666
epidermis,,26326,7679,L2,5,0.4390992381257511,775,0.6563935279846191,6,12,8902,True,flysta3d_drosophila,,,0.5
carcass,,18754,7164,L2,5,0.503472372105188,708,0.5422442555427551,7,12,11497,True,flysta3d_drosophila,,,0.5833333333333334
fat body,,15588,6628,L3,5,0.4863262385084826,6032,2.2999274730682373,4,12,7644,True,flysta3d_drosophila,,,0.3333333333333333
CNS primordium,,19484,19484,all,1,0.6366493368698756,334,0.7014400959014893,3,12,2680,True,flysta3d_v2_drosophila,PUPA-72h_cellbin,,0.25
midgut primordium,,10995,10995,all,1,0.4228216336025181,325,1.3446069955825806,10,12,2771,True,flysta3d_v2_drosophila,PUPA-72h_cellbin,,0.8333333333333334
epidermis,,49179,49179,all,1,0.486514584103814,294,0.7283210754394531,5,12,7583,True,flysta3d_v2_drosophila,PUPA-72h_cellbin,,0.4166666666666667
somatic muscle,,9492,9492,all,1,0.5135772874478913,368,0.6378006935119629,10,12,4450,True,flysta3d_v2_drosophila,PUPA-72h_cellbin,,0.8333333333333334
Cavity,,234528,234528,all,1,0.4808759685402203,4545,0.2327864170074463,1,12,1276,True,mosta_mouse_embryo,,,0.08333333333333333
Connective tissue,,264298,264298,all,1,0.471701967136014,8123,0.2369581460952758,10,12,1364,True,mosta_mouse_embryo,,,0.8333333333333334
Muscle,,195726,195726,all,1,0.2984968753204299,8569,0.3756319284439087,5,12,1082,True,mosta_mouse_embryo,,,0.4166666666666667
Brain,,140852,140852,all,1,0.2128676691112534,9190,0.580312967300415,3,12,548,True,mosta_mouse_embryo,,,0.25
tumor|nontumor,,296465,296465,all,1,0.3646934148519569,3880,0.2152645587921142,12,12,9772,True,openst_lymphnode_3d,,,1.0
l3,,312638,37303,0hpa2,16,0.5814254856648541,1488,5.287410736083984,5,12,2762,True,prista4d_planarian,,,0.4166666666666667
l5,,267336,33169,36hpa1,16,0.5837858759113117,1288,6.220202922821045,3,12,3724,True,prista4d_planarian,,,0.25
l4,,2762468,374522,0hpa2,16,0.5999384523532614,1409,22.07329559326172,12,12,4288,True,prista4d_planarian,,,1.0
not_anno,,915470,915370,WT,4,0.4280197128041884,1228,1.434683322906494,1,12,6492,True,prista4d_planarian,,,0.08333333333333333
1-muscle,,2629,2629,all,1,0.3186757869698302,12701,0.7205357551574707,3,12,3908,True,whole_mouse_embryo_3d_cngb,,,0.25
2-craniofacial primordium,,1466,1466,all,1,0.344440804172387,12816,0.4458435773849487,11,12,1328,True,whole_mouse_embryo_3d_cngb,,,0.9166666666666666
3-endochondral bone,,1431,1431,all,1,0.181097307119541,12576,0.5207611322402954,5,12,1930,True,whole_mouse_embryo_3d_cngb,,,0.4166666666666667
4-primordium of chondrocranium,,1313,1313,all,1,0.4289638764666302,12561,0.5373048782348633,7,12,1616,True,whole_mouse_embryo_3d_cngb,,,0.5833333333333334
Yolk Syncytial Layer,,3552,3552,all,1,0.3124144465476714,996,0.4285664558410644,0,12,5812,True,zesta_zebrafish,,10hpf,0.0
"Segmental Plate, Tail Bud",,3953,3953,all,1,0.2035029857452321,1200,0.7759883403778076,0,12,7719,True,zesta_zebrafish,,10hpf,0.0
Notochord,,3917,3917,all,1,0.3657614485947288,3571,0.5938491821289062,12,12,3949,True,zesta_zebrafish,,18hpf,1.0
Nervous System,,14070,14070,all,1,0.1787792989801703,3400,0.3220183849334717,8,12,7024,True,zesta_zebrafish,,24hpf,0.6666666666666666
