gene,obs_lfc,null_sd,p_geomnull,interface,dataset,specimen
ATMG00030,0.34355974,0.0293377276464337,0.0348258706467661,epidermis|rest,acsta_arabidopsis,
ATMG00020,0.31287336,0.0331034183088295,0.1293532338308457,epidermis|rest,acsta_arabidopsis,
ATCG00270,0.30441117,0.0415698973373476,0.4875621890547263,epidermis|rest,acsta_arabidopsis,
ATCG00950,0.27022362,0.0380517386463195,0.9104477611940298,epidermis|rest,acsta_arabidopsis,
ATCG00450,0.25419486,0.0388445878070453,0.2885572139303483,epidermis|rest,acsta_arabidopsis,
ATCG00920,0.25128293,0.034926613280293,0.7213930348258707,epidermis|rest,acsta_arabidopsis,
AT1G55670,-0.24293792,0.0409287114899221,0.0199004975124378,epidermis|rest,acsta_arabidopsis,
AT2G30570,-0.24880397,0.0414625819906929,0.0796019900497512,epidermis|rest,acsta_arabidopsis,
AT5G64040,-0.25407147,0.0372610011058375,0.0049751243781094,epidermis|rest,acsta_arabidopsis,
AT4G12800,-0.27414668,0.04434258877124,0.0597014925373134,epidermis|rest,acsta_arabidopsis,
AT3G09390,-0.31395388,0.0453822059369238,0.0049751243781094,epidermis|rest,acsta_arabidopsis,
AT1G67090,-0.32105923,0.0420184753158481,0.2835820895522388,epidermis|rest,acsta_arabidopsis,
AMEX60DD047169,0.17614353,0.0356526937124241,0.0049751243781094,VLMC,artista_axolotl_brain,
MATR3 | AMEX60DD029071,0.13915741,0.0239479378028416,0.0049751243781094,VLMC,artista_axolotl_brain,
LOC108918534[nr]|TUBA1C[hs] | AMEX60DD029963,0.13550901,0.0389014230377086,0.0049751243781094,VLMC,artista_axolotl_brain,
AMEX60DD041777,0.13469654,0.0216645596458305,0.0049751243781094,VLMC,artista_axolotl_brain,
ID4 | AMEX60DD038483,0.1328314,0.0269358527318507,0.0049751243781094,VLMC,artista_axolotl_brain,
H355_001130[nr]|GAD2[hs] | AMEX60DD021875,0.1309377,0.0277964690957036,0.0049751243781094,VLMC,artista_axolotl_brain,
