gene,mean_bulge,mean_dent,lfc,p_geomnull,null_sd,interface
ATMG00030,4.059528,3.7159646,0.34356332,0.03482587064676617,0.029337727646433758,epidermis|rest
ATMG00020,4.426841,4.1139703,0.3128705,0.12935323383084577,0.03310341830882954,epidermis|rest
ATCG00270,2.3513846,2.0469763,0.3044083,0.48756218905472637,0.04156989733734765,epidermis|rest
ATCG00950,1.9693828,1.6991578,0.27022493,0.9104477611940298,0.038051738646319506,epidermis|rest
ATCG00450,1.3021239,1.0479277,0.25419617,0.2885572139303483,0.038844587807045375,epidermis|rest
ATCG00920,1.853971,1.6026874,0.25128365,0.7213930348258707,0.034926613280293076,epidermis|rest
ATCG00280,3.9542272,3.7276282,0.22659898,,,epidermis|rest
ATCG00100,1.4590222,1.2343056,0.22471654,,,epidermis|rest
ATCG00570,2.3285804,2.107664,0.22091627,,,epidermis|rest
ATCG00680,3.4227397,3.2066274,0.21611238,,,epidermis|rest
ATCG01180,2.289293,2.0775635,0.21172953,,,epidermis|rest
ATCG00140,2.1204503,1.9111093,0.20934093,,,epidermis|rest
ATCG00130,2.3368306,2.1371558,0.19967484,,,epidermis|rest
ATCG00350,2.4115012,2.2121696,0.19933152,,,epidermis|rest
ATCG00580,2.9498875,2.752147,0.19774055,,,epidermis|rest
ATCG01100,1.300907,1.1048805,0.19602656,,,epidermis|rest
ATCG00400,0.93064874,0.7348118,0.19583696,,,epidermis|rest
ATCG00480,1.7124084,1.5182817,0.19412673,,,epidermis|rest
ATCG00540,1.3354135,1.1500375,0.18537593,,,epidermis|rest
ATMG01390,3.2813358,3.0966103,0.18472552,,,epidermis|rest
ATCG00430,1.0683604,0.8954928,0.17286766,,,epidermis|rest
ATCG01210,1.9984651,1.8283534,0.17011166,,,epidermis|rest
ATCG00490,4.8032365,4.63363,0.16960669,,,epidermis|rest
ATCG00560,2.1421893,1.9751405,0.16704881,,,epidermis|rest
ATCG00120,1.6894069,1.5270869,0.16232002,,,epidermis|rest
ATCG00030,1.2259535,1.0675423,0.15841115,,,epidermis|rest
ATCG00710,1.2944981,1.1368718,0.15762627,,,epidermis|rest
ATCG00630,1.1472765,0.995669,0.15160751,,,epidermis|rest
AT1G56660,0.5731768,0.4249741,0.14820269,,,epidermis|rest
ATCG00670,1.3402545,1.1967858,0.14346874,,,epidermis|rest
AT3G41768,7.831751,7.6905003,0.14125061,,,epidermis|rest
ATCG00340,3.0061932,2.8673053,0.13888788,,,epidermis|rest
ATCG01080,0.7642983,0.6264911,0.13780719,,,epidermis|rest
AT1G58602,0.3854762,0.2519343,0.13354191,,,epidermis|rest
ATCG01060,1.0996612,0.96614856,0.13351268,,,epidermis|rest
ATCG00420,0.90693474,0.77364373,0.133291,,,epidermis|rest
AT1G56510,0.52891576,0.39582998,0.13308579,,,epidermis|rest
ATCG00550,0.82382846,0.699072,0.124756455,,,epidermis|rest
AT5G62570,0.29432505,0.17381139,0.12051366,,,epidermis|rest
ATCG00720,3.3575618,3.2370863,0.12047553,,,epidermis|rest
ATCG00790,0.7156862,0.5969121,0.118774116,,,epidermis|rest
ATCG01050,1.4941314,1.3770968,0.11703467,,,epidermis|rest
ATCG00020,6.6720524,6.5609055,0.11114693,,,epidermis|rest
ATCG00700,0.3732369,0.2706975,0.10253939,,,epidermis|rest
AT1G30360,0.44321942,0.34185022,0.1013692,,,epidermis|rest
AT1G15405,0.65492576,0.5595526,0.09537315,,,epidermis|rest
ATCG00730,2.7714646,2.6772285,0.094236135,,,epidermis|rest
ATCG01090,0.5908294,0.4980941,0.09273526,,,epidermis|rest
ATCG00810,0.3696552,0.27939838,0.09025681,,,epidermis|rest
ATCG00040,1.198607,1.1114357,0.087171316,,,epidermis|rest
AT1G70320,0.27153713,0.18483062,0.086706504,,,epidermis|rest
AT1G80840,0.50867546,0.4224772,0.08619827,,,epidermis|rest
ATCG00470,2.0717719,1.9865811,0.08519077,,,epidermis|rest
ATCG00180,0.6740182,0.5912616,0.08275658,,,epidermis|rest
AT4G19520,0.31007186,0.22746114,0.08261071,,,epidermis|rest
AT4G11280,0.6832036,0.6034755,0.07972807,,,epidermis|rest
AT2G26910,0.20946462,0.13085935,0.07860528,,,epidermis|rest
ATCG00150,0.5439378,0.46568152,0.07825628,,,epidermis|rest
AT2G01420,0.33874875,0.2652717,0.07347706,,,epidermis|rest
AT3G25690,0.5096791,0.43649355,0.07318553,,,epidermis|rest
AT4G16990,0.37089023,0.29798132,0.07290891,,,epidermis|rest
AT4G16890,0.307717,0.23632859,0.07138841,,,epidermis|rest
AT1G51500,0.2935579,0.22220656,0.07135135,,,epidermis|rest
AT3G19240,0.18106918,0.10977426,0.07129492,,,epidermis|rest
AT4G05631,0.319748,0.24908167,0.07066634,,,epidermis|rest
AT4G01950,0.28820023,0.21920505,0.06899518,,,epidermis|rest
AT2G01080,0.17221636,0.10435313,0.067863226,,,epidermis|rest
ATCG00510,0.8083705,0.7425128,0.06585765,,,epidermis|rest
ATCG00360,0.50449073,0.43955728,0.06493345,,,epidermis|rest
AT1G78070,0.22850701,0.16494292,0.06356409,,,epidermis|rest
AT5G05170,0.24042064,0.17694347,0.06347717,,,epidermis|rest
AT4G30960,0.25040135,0.18712245,0.0632789,,,epidermis|rest
ATCG00330,1.0437261,0.98046935,0.06325674,,,epidermis|rest
AT4G13940,0.39414808,0.33119667,0.062951416,,,epidermis|rest
ATCG00170,0.2707017,0.2079527,0.06274901,,,epidermis|rest
AT2G17840,0.43982485,0.3774729,0.062351942,,,epidermis|rest
AT1G01320,0.34268838,0.28143343,0.06125495,,,epidermis|rest
AT3G55430,0.39237472,0.33161438,0.06076035,,,epidermis|rest
AT4G23850,0.33633024,0.2757503,0.060579926,,,epidermis|rest
AT4G20260,0.6483963,0.587994,0.060402334,,,epidermis|rest
AT4G02920,0.26484382,0.2046135,0.060230315,,,epidermis|rest
AT1G68530,0.55922633,0.49902952,0.060196817,,,epidermis|rest
ATCG00210,0.79130536,0.73150134,0.059804022,,,epidermis|rest
AT4G01250,0.17330359,0.11386495,0.05943864,,,epidermis|rest
AT4G24570,0.71555895,0.6567682,0.058790743,,,epidermis|rest
AT5G45340,0.34162647,0.28301328,0.05861318,,,epidermis|rest
AT1G62750,0.41119552,0.3529809,0.058214605,,,epidermis|rest
AT5G40340,0.22084977,0.16275303,0.058096737,,,epidermis|rest
AT5G40450,0.6842344,0.62718886,0.05704552,,,epidermis|rest
AT5G67300,0.43542895,0.37901086,0.05641809,,,epidermis|rest
ATCG01070,0.6486331,0.5924811,0.056152046,,,epidermis|rest
ATCG01010,0.7725931,0.7164948,0.056098282,,,epidermis|rest
ATCG00800,0.53379744,0.4779021,0.05589533,,,epidermis|rest
AT1G15690,0.37932342,0.32359955,0.055723876,,,epidermis|rest
AT1G01120,0.37598568,0.3205484,0.055437297,,,epidermis|rest
AT1G01140,0.508393,0.45334506,0.05504793,,,epidermis|rest
ATCG00065,0.22003326,0.16535018,0.054683074,,,epidermis|rest
AT1G08510,0.19574134,0.14123802,0.05450332,,,epidermis|rest
AT1G73680,0.16659902,0.112255074,0.054343946,,,epidermis|rest
ATCG00690,0.5074449,0.4531396,0.054305315,,,epidermis|rest
ATMG01360,0.531433,0.4772476,0.05418539,,,epidermis|rest
ATCG00500,0.67082596,0.61671877,0.05410719,,,epidermis|rest
AT1G20960,0.15713285,0.10311759,0.054015256,,,epidermis|rest
ATCG00300,0.76231706,0.7084669,0.053850174,,,epidermis|rest
AT5G45110,0.18222661,0.12865284,0.053573772,,,epidermis|rest
AT1G68010,0.7626402,0.7093223,0.053317904,,,epidermis|rest
ATCG00610,0.40994388,0.3576969,0.052246988,,,epidermis|rest
AT4G15530,0.1986447,0.14722198,0.051422715,,,epidermis|rest
AT4G29780,0.64321154,0.5919248,0.051286757,,,epidermis|rest
AT1G78280,0.20874797,0.1575471,0.051200867,,,epidermis|rest
AT1G22930,0.429166,0.3781301,0.05103588,,,epidermis|rest
AT2G01020,0.26623484,0.21540146,0.05083339,,,epidermis|rest
AT1G21580,0.14784917,0.09722242,0.050626755,,,epidermis|rest
AT1G29670,0.44572118,0.39517403,0.050547153,,,epidermis|rest
AT1G76180,1.0711975,1.0208964,0.050301075,,,epidermis|rest
AT3G15210,0.2979431,0.24793382,0.050009266,,,epidermis|rest
AT5G01710,0.17442657,0.12468562,0.049740948,,,epidermis|rest
AT3G17800,0.443705,0.39565158,0.048053414,,,epidermis|rest
AT4G13340,0.3519479,0.3044857,0.047462195,,,epidermis|rest
AT4G23180,0.2672707,0.21988422,0.047386497,,,epidermis|rest
AT4G29900,0.3214092,0.27410093,0.047308266,,,epidermis|rest
AT4G29670,0.276008,0.22926122,0.04674679,,,epidermis|rest
AT3G26070,0.18465123,0.1382229,0.046428323,,,epidermis|rest
AT4G33220,0.14789477,0.1015735,0.046321273,,,epidermis|rest
AT1G22530,0.26185387,0.21655701,0.045296863,,,epidermis|rest
ATCG01130,0.40124297,0.35596,0.04528296,,,epidermis|rest
AT1G58290,0.43358573,0.388468,0.045117736,,,epidermis|rest
AT5G13630,0.75261664,0.7080226,0.04459405,,,epidermis|rest
ATCG00640,0.56674916,0.5223342,0.044414937,,,epidermis|rest
AT1G53210,0.44454253,0.40013373,0.0444088,,,epidermis|rest
AT5G58720,0.18223639,0.1381752,0.044061184,,,epidermis|rest
AT2G01490,0.22677872,0.18292597,0.043852746,,,epidermis|rest
AT5G27350,0.2775204,0.2337899,0.043730482,,,epidermis|rest
AT3G55980,0.99204004,0.94842356,0.043616474,,,epidermis|rest
AT4G38550,0.24703799,0.20374809,0.0432899,,,epidermis|rest
AT5G41790,0.31398416,0.27091977,0.043064386,,,epidermis|rest
AT4G33010,0.92464757,0.88162714,0.043020427,,,epidermis|rest
AT3G50370,0.14014244,0.097251445,0.042890996,,,epidermis|rest
AT3G59060,0.3155576,0.27279836,0.04275924,,,epidermis|rest
AT1G07135,0.5176274,0.4749192,0.042708218,,,epidermis|rest
AT2G34510,0.24374066,0.20103492,0.042705745,,,epidermis|rest
AT1G51805,0.4105575,0.36844274,0.042114764,,,epidermis|rest
ATCG00660,0.20623994,0.1642181,0.04202184,,,epidermis|rest
AT3G45970,0.2927256,0.25081787,0.041907728,,,epidermis|rest
AT1G75380,0.6675042,0.6259289,0.041575313,,,epidermis|rest
AT1G11310,0.22052449,0.1791617,0.041362792,,,epidermis|rest
AT5G62000,0.41735813,0.37613532,0.04122281,,,epidermis|rest
ATCG00750,0.19111687,0.1500045,0.041112363,,,epidermis|rest
AT2G27080,0.2503428,0.20936117,0.04098162,,,epidermis|rest
AT3G52800,0.5317225,0.49173188,0.039990604,,,epidermis|rest
AT1G17220,0.2575077,0.21766481,0.039842904,,,epidermis|rest
AT1G66970,0.18716858,0.14780957,0.03935902,,,epidermis|rest
AT1G48300,0.8556021,0.8162885,0.039313614,,,epidermis|rest
AT5G62520,0.2738452,0.23467277,0.039172426,,,epidermis|rest
ATCG00440,1.4365629,1.3977231,0.038839817,,,epidermis|rest
AT2G01010,4.314021,4.275302,0.038719177,,,epidermis|rest
AT4G35800,0.17321043,0.1344944,0.038716033,,,epidermis|rest
AT2G22500,0.15730248,0.118627675,0.03867481,,,epidermis|rest
AT3G57330,0.17337644,0.1351433,0.038233146,,,epidermis|rest
ATMG00090,0.24163991,0.20346184,0.03817807,,,epidermis|rest
AT5G45430,0.21079345,0.17269169,0.038101763,,,epidermis|rest
ATCG01110,0.24506962,0.20754738,0.03752224,,,epidermis|rest
AT4G17330,0.15324137,0.11573751,0.037503853,,,epidermis|rest
AT2G30020,0.50187224,0.46438012,0.037492126,,,epidermis|rest
AT5G20280,0.14569418,0.10820276,0.03749142,,,epidermis|rest
ATCG00650,0.33358732,0.2962311,0.037356228,,,epidermis|rest
AT3G08530,0.17703582,0.14058521,0.03645061,,,epidermis|rest
AT4G27500,0.21707635,0.18064669,0.03642966,,,epidermis|rest
AT4G23810,0.24727137,0.21107495,0.036196426,,,epidermis|rest
AT2G30930,0.36490852,0.32938904,0.03551948,,,epidermis|rest
ATCG00520,0.6117197,0.5764946,0.035225153,,,epidermis|rest
AT3G07360,0.16864145,0.13380697,0.034834474,,,epidermis|rest
AT3G14100,0.21319309,0.17839871,0.034794375,,,epidermis|rest
AT3G59350,0.18778229,0.1530564,0.03472589,,,epidermis|rest
AT1G66260,0.14879125,0.114164,0.03462725,,,epidermis|rest
AT3G61260,0.46055132,0.42614803,0.034403294,,,epidermis|rest
AT3G63540,0.15816759,0.123816736,0.03435085,,,epidermis|rest
AT1G69840,0.29341915,0.25920153,0.034217626,,,epidermis|rest
AT1G31540,0.17197217,0.13775492,0.034217253,,,epidermis|rest
AT4G28080,0.30204156,0.2681872,0.033854365,,,epidermis|rest
AT1G59910,0.14920403,0.11544582,0.03375821,,,epidermis|rest
AT4G17090,0.4364007,0.40276894,0.03363177,,,epidermis|rest
ATMG00060,0.15277681,0.11916553,0.033611275,,,epidermis|rest
AT2G28290,0.17457937,0.14132851,0.033250853,,,epidermis|rest
AT1G63770,0.23833881,0.20529993,0.033038884,,,epidermis|rest
AT1G20020,0.7358366,0.70283246,0.033004165,,,epidermis|rest
AT3G11130,0.18119432,0.14830731,0.03288701,,,epidermis|rest
