gene,mean_bulge,mean_dent,lfc,p_geomnull,null_sd,interface
AMEX60DD047169,2.1528883,1.976752,0.17613626,0.004975124378109453,0.03565269371242415,VLMC
MATR3 | AMEX60DD029071,1.4088567,1.2696983,0.13915849,0.004975124378109453,0.023947937802841632,VLMC
LOC108918534[nr]|TUBA1C[hs] | AMEX60DD029963,2.817672,2.6821706,0.13550138,0.004975124378109453,0.03890142303770863,VLMC
AMEX60DD041777,0.9715303,0.8368325,0.1346978,0.004975124378109453,0.021664559645830507,VLMC
ID4 | AMEX60DD038483,0.64228225,0.5094468,0.13283545,0.004975124378109453,0.026935852731850743,VLMC
H355_001130[nr]|GAD2[hs] | AMEX60DD021875,0.91991824,0.788979,0.13093925,0.004975124378109453,0.027796469095703658,VLMC
CIRBP[nr] | AMEX60DD010598,1.5592552,1.4286704,0.13058484,,,VLMC
AMEX60DD017849,2.586996,2.4616303,0.12536573,,,VLMC
GAD1 | AMEX60DD055654,0.6270194,0.5045783,0.12244111,,,VLMC
HNRNPK | AMEX60DD043243,1.7544929,1.6332363,0.12125659,,,VLMC
MARCKS | AMEX60DDU001006823,1.7262242,1.6075195,0.11870468,,,VLMC
GLUD1 | AMEX60DD051983,1.0742407,0.95568854,0.11855215,,,VLMC
GAP43 | AMEX60DD047001,1.5955635,1.4789121,0.116651416,,,VLMC
CIRP-BETA[nr]|CIRBP[hs] | AMEX60DD043599,1.3407359,1.2245092,0.11622667,,,VLMC
LOC111188412[nr]|CALM1[hs] | AMEX60DD011670,1.4339978,1.3180737,0.115924,,,VLMC
CCT4[nr] | AMEX60DD035657,0.8286054,0.714169,0.11443639,,,VLMC
FABP7[nr] | AMEX60DD034100,1.1403966,1.0325176,0.10787904,,,VLMC
LOC104149555[nr]|TUBA1B[hs] | AMEX60DD029966,2.7086678,2.6012106,0.10745716,,,VLMC
ADCYAP1R1 | AMEX60DD021323,1.0024501,0.89519614,0.10725397,,,VLMC
AMEX60DD052120,1.9959677,1.89028,0.10568774,,,VLMC
GPX3 | AMEX60DD030117,1.403086,1.2978712,0.105214715,,,VLMC
HNRNPL[hs] | AMEX60DD024272,1.5235039,1.418772,0.10473192,,,VLMC
MYEF2 | AMEX60DD003751,0.7292753,0.62568593,0.103589356,,,VLMC
AMEX60DD021041,1.511114,1.4075335,0.103580475,,,VLMC
NDFIP1 | AMEX60DD028826,1.1533977,1.0501809,0.10321677,,,VLMC
CENPV.L[nr]|CENPV[hs] | AMEX60DD054765,0.7396475,0.6375469,0.10210061,,,VLMC
AMEX60DD015190,1.934825,1.8333415,0.101483464,,,VLMC
AMEX60DD007614,1.139514,1.0387038,0.10081017,,,VLMC
SOX2 | AMEX60DD001640,0.54513747,0.44533414,0.09980333,,,VLMC
PRMT1 | AMEX60DD016261,1.1554806,1.0557362,0.09974444,,,VLMC
STMN4 | AMEX60DD032735,1.0498991,0.9501706,0.099728525,,,VLMC
NSG2 | AMEX60DD028745,1.9190323,1.8199354,0.099096894,,,VLMC
ELAVL3 | AMEX60DD031996,0.55109876,0.45243856,0.0986602,,,VLMC
SLC32A1 | AMEX60DD028674,0.38945222,0.29103595,0.09841627,,,VLMC
EIF1 | AMEX60DD010090,1.4264107,1.3280827,0.098327994,,,VLMC
GUCY1B1 | AMEX60DD045132,0.7040287,0.60671407,0.097314656,,,VLMC
CNTN1 | AMEX60DD006340,0.7680651,0.67083,0.09723508,,,VLMC
PARPI_0000285[nr]|VAMP2[hs] | AMEX60DD002447,1.0174264,0.92043906,0.09698731,,,VLMC
AMEX60DD056353,0.8211617,0.72436506,0.09679663,,,VLMC
PARPI_0010782[nr] | AMEX60DD036318,0.9400113,0.8438499,0.096161425,,,VLMC
AMEX60DD000806,1.6001762,1.5040562,0.09612,,,VLMC
ROHU_010447[nr]|PPP2CB[hs] | AMEX60DDU001000128,0.8247508,0.72867274,0.09607804,,,VLMC
HPCAL4 | AMEX60DD006158,0.868785,0.7727867,0.09599835,,,VLMC
GFAP | AMEX60DD009861,0.71910745,0.6236297,0.09547776,,,VLMC
NCOA5[nr] | AMEX60DD027678,0.7849734,0.689686,0.09528738,,,VLMC
LOC115657965[nr]|TUBA1C[hs] | AMEX60DD008095,1.5753785,1.4809045,0.09447408,,,VLMC
GSONMT00067160001[nr]|H2AZ1[hs] | AMEX60DD044272,1.4723477,1.3781157,0.09423208,,,VLMC
RTN3 | AMEX60DD025221,1.0693023,0.975321,0.093981326,,,VLMC
HNRNPAB | AMEX60DD029013,1.6819243,1.5882004,0.09372389,,,VLMC
CBX5 | AMEX60DD029482,0.920547,0.82868284,0.09186417,,,VLMC
MAP1B | AMEX60DD042446,1.2525711,1.1612366,0.09133446,,,VLMC
CADM2 | AMEX60DD047520,0.5799748,0.48882985,0.09114492,,,VLMC
ERH | AMEX60DD012107,1.0624897,0.97162145,0.090868294,,,VLMC
CSPG5 | AMEX60DD026060,0.40864506,0.31780303,0.09084204,,,VLMC
LOC100555387[nr]|IGFBP5[hs] | AMEX60DD056219,0.615879,0.5252044,0.09067458,,,VLMC
AMEX60DD009711,1.1734446,1.0830383,0.0904063,,,VLMC
LOC101342876[nr]|STMN2[hs] | AMEX60DD039970,1.4795786,1.3896161,0.08996248,,,VLMC
HNRNPU | AMEX60DD035361,1.0326831,0.94283736,0.08984578,,,VLMC
VSNL1 | AMEX60DD033145,0.6360932,0.5463712,0.08972198,,,VLMC
SET | AMEX60DD050296,1.4458758,1.3564492,0.08942652,,,VLMC
TCP1[nr] | AMEX60DD034407,0.94839454,0.85911447,0.08928007,,,VLMC
TLE5[hs] | AMEX60DD013789,0.5253626,0.43664297,0.088719636,,,VLMC
SPOCK2 | AMEX60DD051666,1.1442848,1.0560585,0.08822632,,,VLMC
SOX1 | AMEX60DD047894,0.20907682,0.12093021,0.08814661,,,VLMC
DYNLL1[nr]|DYNLL2[hs] | AMEX60DD054102,0.9283152,0.8407635,0.08755171,,,VLMC
CFL2[nr] | AMEX60DD025059,1.5815079,1.4945705,0.08693743,,,VLMC
ATP6V1B2 | AMEX60DD002837,0.824588,0.73792076,0.08666724,,,VLMC
DNAJC5 | AMEX60DD027070,0.7214621,0.63610864,0.085353434,,,VLMC
KHDRBS1 | AMEX60DD006055,1.2820771,1.1971253,0.08495176,,,VLMC
ENO1 | AMEX60DD051188,1.9780767,1.8931788,0.084897876,,,VLMC
AMEX60DDU001030768,0.71943337,0.6348071,0.08462626,,,VLMC
PTPRZ1[nr] | AMEX60DD007412,0.6052154,0.5208214,0.08439398,,,VLMC
DR999_PMT12449[nr]|SLC6A1[hs] | AMEX60DD023994,0.7234064,0.63927287,0.084133506,,,VLMC
LMO3 | AMEX60DD006666,0.6678606,0.58398503,0.0838756,,,VLMC
KIDINS220 | AMEX60DD033291,0.8033673,0.72041434,0.082952976,,,VLMC
CKB[hs] | AMEX60DD011087,1.9152492,1.832579,0.08267021,,,VLMC
DBN1[nr] | AMEX60DD027873,0.7341212,0.651868,0.08225322,,,VLMC
GLUL.L[nr]|GLUL[hs] | AMEX60DD050853,1.2582207,1.176427,0.081793666,,,VLMC
FEZ1 | AMEX60DD054025,0.8973781,0.8157892,0.081588864,,,VLMC
NDRG4 | AMEX60DD015507,1.7503401,1.6690273,0.081312776,,,VLMC
LOC101940869[nr]|RBM4[hs] | AMEX60DD025273,0.86152625,0.78058946,0.08093679,,,VLMC
LOC115073374[nr] | AMEX60DD042749,0.6659523,0.58583474,0.08011758,,,VLMC
AP2M1 | AMEX60DD001495,1.2110401,1.1315595,0.07948065,,,VLMC
FXYD6 | AMEX60DD053906,0.9107449,0.8312996,0.0794453,,,VLMC
SCGN | AMEX60DD038981,0.41616547,0.33673328,0.07943219,,,VLMC
TRA2B | AMEX60DD055289,1.0157039,0.9371616,0.07854229,,,VLMC
TMEFF2 | AMEX60DD055219,0.4281668,0.34986714,0.07829967,,,VLMC
TMCC1 | AMEX60DD025608,0.9959497,0.91765445,0.07829523,,,VLMC
MTURN | AMEX60DD022632,0.59034455,0.51208663,0.07825792,,,VLMC
SNRNP27 | AMEX60DD036782,1.0061202,0.9286604,0.07745981,,,VLMC
L1CAM | AMEX60DD025587,0.9444195,0.867194,0.07722551,,,VLMC
AMEX60DD052761,1.001168,0.92415965,0.07700837,,,VLMC
DDX5 | AMEX60DD031103,1.4362527,1.3593352,0.07691753,,,VLMC
CALM2[nr]|CALM1[hs] | AMEX60DD035913,2.3566701,2.2803369,0.076333284,,,VLMC
VDAC2 | AMEX60DD052195,0.9523294,0.8761615,0.07616788,,,VLMC
PRRT1 | AMEX60DD010538,0.3715864,0.29576212,0.07582429,,,VLMC
SH3BP5 | AMEX60DD022626,0.33433664,0.2585818,0.07575485,,,VLMC
LOC110222103[nr]|UBC[hs] | AMEX60DD000054,1.0245844,0.9488844,0.075699985,,,VLMC
SMAX5B_007995[nr]|TUBB4B[hs] | AMEX60DD032108,2.9056346,2.8300033,0.07563138,,,VLMC
GPM6A | AMEX60DD045310,1.4846615,1.4093419,0.07531953,,,VLMC
ELOC | AMEX60DD039921,0.62487864,0.5499078,0.07497084,,,VLMC
SCD[nr]|SCD5[hs] | AMEX60DD051640,0.776754,0.70180136,0.07495266,,,VLMC
SCG2 | AMEX60DD002189,0.63993406,0.56555164,0.074382424,,,VLMC
TAC1 | AMEX60DD022344,0.3924383,0.3180626,0.07437569,,,VLMC
MACF1 | AMEX60DD006142,0.6975407,0.623834,0.07370669,,,VLMC
PFN2 | AMEX60DD001932,1.183313,1.1103158,0.07299721,,,VLMC
AMEX60DD022072,0.40097016,0.32803163,0.07293853,,,VLMC
ANK2 | AMEX60DD044697,0.5362378,0.4634794,0.07275838,,,VLMC
AMEX60DD055410,0.78341484,0.7109476,0.07246727,,,VLMC
PENK | AMEX60DD039745,0.5756511,0.5034351,0.072216034,,,VLMC
LGI2 | AMEX60DD045756,0.88638467,0.8141977,0.07218695,,,VLMC
H1-3[hs] | AMEX60DD007182,1.5941746,1.5221792,0.07199538,,,VLMC
DRD3 | AMEX60DD046985,1.7117975,1.640151,0.07164645,,,VLMC
TSC22D1 | AMEX60DD049082,0.8024352,0.7309359,0.07149935,,,VLMC
HOOK3 | AMEX60DD043798,0.80371505,0.7323555,0.071359575,,,VLMC
KHSRP | AMEX60DD032120,0.33406466,0.26292324,0.07114142,,,VLMC
DOCK3 | AMEX60DD024130,0.51878554,0.44788027,0.07090527,,,VLMC
NMNAT2 | AMEX60DD018595,0.42736417,0.35657534,0.07078883,,,VLMC
HNRNPM | AMEX60DD014678,0.7919457,0.7211691,0.07077658,,,VLMC
MAP2 | AMEX60DD055368,0.9437961,0.8732282,0.070567906,,,VLMC
FUBP1 | AMEX60DD018962,0.8339284,0.76362836,0.07030004,,,VLMC
OAZ1 | AMEX60DDU001002073,1.3346554,1.2644448,0.070210576,,,VLMC
LOC106515066[nr] | AMEX60DD027800,0.6527147,0.58252954,0.070185184,,,VLMC
AMEX60DD003045,1.9676603,1.8980839,0.06957638,,,VLMC
SLC20A1 | AMEX60DD001301,0.52458614,0.4551405,0.06944564,,,VLMC
ACTR3 | AMEX60DDU001009775,0.81529623,0.74630153,0.0689947,,,VLMC
VAT1L | AMEX60DD015284,0.82663655,0.75801855,0.068618,,,VLMC
MEIOC | AMEX60DD009874,1.142678,1.0741374,0.06854057,,,VLMC
LASP1 | AMEX60DD010264,0.78291655,0.71442884,0.068487704,,,VLMC
AGRN | AMEX60DD051219,0.44713625,0.37864897,0.06848729,,,VLMC
