gene,mean_bulge,mean_dent,lfc,p_geomnull,null_sd,interface
PCP4,1.041315,0.9428635,0.098451436,0.736318407960199,0.014694341189054288,molecular layer|rest
ALDOC,0.795878,0.69921726,0.09666073,0.004975124378109453,0.0074379484839136615,molecular layer|rest
GRID2,0.9870426,0.91700065,0.070041955,0.009950248756218905,0.011461622385009532,molecular layer|rest
PCP2,0.45940003,0.41005254,0.04934749,0.07960199004975124,0.006491336088689007,molecular layer|rest
HPCAL1,0.28838947,0.24320488,0.045184597,0.004975124378109453,0.0022178296420926153,molecular layer|rest
NSG1,0.30620226,0.2667545,0.039447755,0.004975124378109453,0.0022767128662710815,molecular layer|rest
APOE,0.5082123,0.47000566,0.038206667,,,molecular layer|rest
HOMER3,0.33316177,0.29755068,0.035611093,,,molecular layer|rest
CALB1,0.16834347,0.13439207,0.0339514,,,molecular layer|rest
CA8,0.17251031,0.14121485,0.031295463,,,molecular layer|rest
SEPT4,0.24554671,0.22220215,0.023344561,,,molecular layer|rest
KCNIP4,0.4821617,0.46084654,0.021315157,,,molecular layer|rest
S100B,0.55623484,0.53752667,0.01870817,,,molecular layer|rest
LCAT,0.095273905,0.07686453,0.018409371,,,molecular layer|rest
SLC1A3,0.24649394,0.22809301,0.018400922,,,molecular layer|rest
SLC1A6,0.10892492,0.090700306,0.018224612,,,molecular layer|rest
NRXN3,0.3561708,0.33973697,0.016433835,,,molecular layer|rest
FGF14,0.24284898,0.22865751,0.014191464,,,molecular layer|rest
DPP6,0.23447368,0.22082506,0.013648614,,,molecular layer|rest
STMN2,0.28717795,0.2740158,0.013162136,,,molecular layer|rest
YWHAH,0.26759273,0.25544906,0.0121436715,,,molecular layer|rest
RBFOX1,0.2804862,0.26994747,0.010538727,,,molecular layer|rest
INPP5A,0.11504245,0.104747735,0.010294713,,,molecular layer|rest
NDRG4,0.21548977,0.2051958,0.0102939755,,,molecular layer|rest
AUTS2,0.3022792,0.29219046,0.010088742,,,molecular layer|rest
CACNA1A,0.09519356,0.08634859,0.008844964,,,molecular layer|rest
TIAM1,0.09954581,0.09207004,0.0074757636,,,molecular layer|rest
GRIA4,0.15480724,0.14754136,0.0072658807,,,molecular layer|rest
FABP7,0.14674996,0.1395577,0.007192254,,,molecular layer|rest
TRIM9,0.13181669,0.1246453,0.007171385,,,molecular layer|rest
TTYH1,0.081110254,0.074135326,0.006974928,,,molecular layer|rest
FRMD4A,0.26921067,0.26244792,0.006762743,,,molecular layer|rest
CADPS2,0.08228124,0.075808674,0.0064725652,,,molecular layer|rest
KIRREL3,0.13774183,0.131354,0.00638783,,,molecular layer|rest
MTSS1,0.096422896,0.09024258,0.006180316,,,molecular layer|rest
SLC12A5,0.10443591,0.09826552,0.006170392,,,molecular layer|rest
NTM,0.21348883,0.2073842,0.006104633,,,molecular layer|rest
DIP2B,0.08719243,0.081394725,0.0057977065,,,molecular layer|rest
CBLN1,0.08621572,0.08053595,0.0056797713,,,molecular layer|rest
SNCG,0.07567167,0.06999787,0.0056738034,,,molecular layer|rest
KCND2,0.11344438,0.107822545,0.0056218356,,,molecular layer|rest
NEGR1,0.15020789,0.14474747,0.005460426,,,molecular layer|rest
ADGRL3,0.124535434,0.11908886,0.0054465756,,,molecular layer|rest
GABARAPL2,0.16742866,0.1620213,0.005407363,,,molecular layer|rest
NRG1,0.082942255,0.07793177,0.0050104856,,,molecular layer|rest
DLGAP1,0.11631035,0.111506954,0.0048033968,,,molecular layer|rest
UNC5C,0.12130697,0.116514914,0.004792057,,,molecular layer|rest
GNAO1,0.10384884,0.09924892,0.004599914,,,molecular layer|rest
ATP2B2,0.16437072,0.15994993,0.004420787,,,molecular layer|rest
NLGN1,0.22109298,0.21676737,0.0043256134,,,molecular layer|rest
CERK,0.1438893,0.13960712,0.0042821765,,,molecular layer|rest
GAD1,0.19875129,0.19449155,0.0042597353,,,molecular layer|rest
MACROD2,0.1379634,0.13370475,0.0042586476,,,molecular layer|rest
TNK2,0.09820786,0.094152294,0.004055567,,,molecular layer|rest
LSAMP,0.17947602,0.17546374,0.0040122867,,,molecular layer|rest
RGS7,0.09813484,0.09438213,0.0037527084,,,molecular layer|rest
NBEA,0.23770975,0.2339781,0.003731653,,,molecular layer|rest
KAZN,0.096895166,0.09360872,0.0032864437,,,molecular layer|rest
SCN1B,0.16904838,0.1660816,0.0029667765,,,molecular layer|rest
GABBR1,0.11025507,0.10734138,0.002913691,,,molecular layer|rest
KCNMA1,0.11832784,0.11552119,0.0028066486,,,molecular layer|rest
INPP4B,0.11370908,0.1109949,0.0027141795,,,molecular layer|rest
STMN3,0.19393635,0.1913425,0.0025938451,,,molecular layer|rest
ADGRB3,0.1628133,0.16026741,0.0025458932,,,molecular layer|rest
TUBB3,0.14673965,0.14419928,0.0025403649,,,molecular layer|rest
NCAM1,0.11074316,0.10821322,0.002529934,,,molecular layer|rest
ASTN2,0.078308396,0.07582402,0.0024843737,,,molecular layer|rest
SORL1,0.11230583,0.109903,0.0024028271,,,molecular layer|rest
INA,0.092452824,0.09014117,0.0023116544,,,molecular layer|rest
ELMOD1,0.07343135,0.07114101,0.0022903383,,,molecular layer|rest
MADD,0.07839232,0.07612483,0.0022674873,,,molecular layer|rest
THY1,0.09244185,0.09019702,0.0022448301,,,molecular layer|rest
SCN2A,0.07126342,0.069245115,0.0020183027,,,molecular layer|rest
STMN4,0.09975809,0.097777486,0.0019806027,,,molecular layer|rest
ELAVL3,0.08316649,0.08121052,0.0019559711,,,molecular layer|rest
IL1RAPL1,0.10833682,0.10641364,0.0019231811,,,molecular layer|rest
PTPRZ1,0.09612383,0.09426404,0.0018597916,,,molecular layer|rest
CCNI,0.18601866,0.18447459,0.0015440732,,,molecular layer|rest
SPTAN1,0.08335426,0.0818243,0.0015299544,,,molecular layer|rest
EML5,0.091817215,0.090293676,0.0015235394,,,molecular layer|rest
SPOCK1,0.12401326,0.122514635,0.0014986247,,,molecular layer|rest
PRKCE,0.08812485,0.08665729,0.0014675558,,,molecular layer|rest
ARHGAP35,0.09086458,0.08959716,0.0012674183,,,molecular layer|rest
SEZ6L2,0.07637466,0.075179346,0.0011953115,,,molecular layer|rest
DHX30,0.1222094,0.12105256,0.0011568367,,,molecular layer|rest
CAMKK2,0.07656358,0.07541948,0.0011441037,,,molecular layer|rest
ACSL6,0.07368044,0.07262438,0.0010560602,,,molecular layer|rest
NRXN1,0.31203157,0.3110941,0.00093746185,,,molecular layer|rest
SHANK2,0.081300266,0.08040323,0.000897035,,,molecular layer|rest
WWOX,0.10519661,0.10438548,0.0008111298,,,molecular layer|rest
PVALB,0.5528109,0.55202067,0.0007902384,,,molecular layer|rest
ASPH,0.07647903,0.075738356,0.0007406771,,,molecular layer|rest
PDZK1,0.098497614,0.09779986,0.0006977543,,,molecular layer|rest
RIMS1,0.0746246,0.073976785,0.0006478131,,,molecular layer|rest
ESRRG,0.09665462,0.09613804,0.00051657856,,,molecular layer|rest
JMJD1C,0.10697659,0.106616855,0.00035973638,,,molecular layer|rest
GRIA3,0.0754882,0.07524762,0.00024057925,,,molecular layer|rest
KIF1B,0.090070404,0.08985185,0.00021855533,,,molecular layer|rest
ERC1,0.08466605,0.0844857,0.00018034875,,,molecular layer|rest
NKAIN2,0.08983143,0.08967236,0.0001590699,,,molecular layer|rest
SCRN1,0.1408556,0.14074937,0.00010623038,,,molecular layer|rest
GABRA1,0.108831234,0.10883193,-6.92904e-07,,,molecular layer|rest
MAGI2,0.15376377,0.15398072,-0.000216946,,,molecular layer|rest
MORN1,0.06697134,0.06723459,-0.00026325136,,,molecular layer|rest
DNM1,0.14398624,0.14425823,-0.0002719909,,,molecular layer|rest
NFIA,0.080779955,0.081104666,-0.0003247112,,,molecular layer|rest
PPP2R1A,0.109545015,0.109885514,-0.00034049898,,,molecular layer|rest
GAD2,0.083108984,0.083483145,-0.0003741607,,,molecular layer|rest
MAPK9,0.07265418,0.07315181,-0.0004976317,,,molecular layer|rest
TRAPPC9,0.075921535,0.07656487,-0.0006433353,,,molecular layer|rest
SNCB,0.07818558,0.078946576,-0.00076099485,,,molecular layer|rest
KIT,0.090046,0.09086002,-0.0008140132,,,molecular layer|rest
TECR,0.0678271,0.0688126,-0.0009855032,,,molecular layer|rest
RUFY3,0.07044658,0.07154732,-0.0011007413,,,molecular layer|rest
ABAT,0.09266083,0.093798585,-0.0011377558,,,molecular layer|rest
TRIM37,0.07060869,0.07183839,-0.001229696,,,molecular layer|rest
TRIO,0.075580165,0.07681365,-0.0012334883,,,molecular layer|rest
ANK3,0.077226266,0.07846862,-0.0012423545,,,molecular layer|rest
ATP2A2,0.13484213,0.13614124,-0.001299113,,,molecular layer|rest
UBE2K,0.07230878,0.07372064,-0.0014118627,,,molecular layer|rest
MACF1,0.079864465,0.08135392,-0.001489453,,,molecular layer|rest
AP2B1,0.06930675,0.07092804,-0.0016212836,,,molecular layer|rest
ANKS1B,0.22554591,0.2271873,-0.0016413927,,,molecular layer|rest
MLF2,0.08245932,0.08413073,-0.0016714036,,,molecular layer|rest
ENTPD4,0.08725702,0.08905983,-0.0018028095,,,molecular layer|rest
NTRK2,0.11596823,0.117883086,-0.0019148588,,,molecular layer|rest
PSMC5,0.09413911,0.09617463,-0.002035521,,,molecular layer|rest
USP22,0.102817304,0.10488129,-0.0020639822,,,molecular layer|rest
SPOUT1,0.07081745,0.07292225,-0.002104804,,,molecular layer|rest
CCSER1,0.08028912,0.082425065,-0.0021359473,,,molecular layer|rest
CADM2,0.14225978,0.14439759,-0.00213781,,,molecular layer|rest
ZIC1,0.11194116,0.11412246,-0.002181299,,,molecular layer|rest
RAMP1,0.08586448,0.08819773,-0.0023332536,,,molecular layer|rest
SNRPN,0.25460917,0.25696117,-0.0023519993,,,molecular layer|rest
C4orf48,0.06636203,0.0687295,-0.0023674667,,,molecular layer|rest
PBX1,0.08229208,0.08468548,-0.0023934022,,,molecular layer|rest
CRYAB,0.13515858,0.13757446,-0.0024158806,,,molecular layer|rest
DMD,0.07978502,0.0823366,-0.002551578,,,molecular layer|rest
NPDC1,0.07769596,0.08028938,-0.0025934204,,,molecular layer|rest
IQSEC1,0.08887141,0.09146764,-0.0025962293,,,molecular layer|rest
NREP,0.098126024,0.10072879,-0.0026027635,,,molecular layer|rest
NAP1L4,0.07527584,0.07790543,-0.002629593,,,molecular layer|rest
CAMK2D,0.07371234,0.07636492,-0.002652578,,,molecular layer|rest
MPV17L2,0.0847308,0.08746162,-0.002730824,,,molecular layer|rest
CHKA,0.06015709,0.06296416,-0.0028070733,,,molecular layer|rest
GRIA2,0.07023269,0.07309172,-0.0028590336,,,molecular layer|rest
LRP1B,0.11574998,0.11867216,-0.0029221848,,,molecular layer|rest
TUBA4A,0.07993844,0.0828717,-0.0029332563,,,molecular layer|rest
ATP6V1F,0.07730098,0.08024848,-0.0029475018,,,molecular layer|rest
ATP5D,0.11161247,0.11457971,-0.0029672384,,,molecular layer|rest
GNG3,0.07353839,0.07658538,-0.0030469894,,,molecular layer|rest
SYT4,0.071205616,0.07428926,-0.0030836463,,,molecular layer|rest
CAMSAP2,0.07077914,0.0738669,-0.003087759,,,molecular layer|rest
ATP1A1,0.15836057,0.16145174,-0.0030911714,,,molecular layer|rest
TMEM59L,0.11329093,0.11638899,-0.0030980632,,,molecular layer|rest
SYN3,0.08988359,0.09301103,-0.0031274408,,,molecular layer|rest
EIF4G3,0.07955227,0.082698405,-0.0031461343,,,molecular layer|rest
SYN2,0.0991185,0.10226769,-0.003149189,,,molecular layer|rest
GSTM3,0.15402259,0.15739147,-0.0033688843,,,molecular layer|rest
SLC17A7,0.060151502,0.06353006,-0.0033785552,,,molecular layer|rest
ADD1,0.066395946,0.06977522,-0.0033792704,,,molecular layer|rest
SIK3,0.09029738,0.0937279,-0.003430523,,,molecular layer|rest
ASB3,0.07990586,0.08335461,-0.003448747,,,molecular layer|rest
PPP1CC,0.076382786,0.07983381,-0.003451027,,,molecular layer|rest
KANSL1,0.07916483,0.082624465,-0.0034596324,,,molecular layer|rest
ASH1L,0.08882407,0.09233433,-0.003510259,,,molecular layer|rest
EDF1,0.120610744,0.124125734,-0.0035149902,,,molecular layer|rest
SYNE1,0.12834775,0.13197891,-0.0036311597,,,molecular layer|rest
MAPK1,0.06716319,0.070798166,-0.0036349744,,,molecular layer|rest
SLC25A4,0.07047064,0.07412009,-0.0036494508,,,molecular layer|rest
MAP1A,0.10243242,0.10610654,-0.0036741197,,,molecular layer|rest
MYL12A,0.14519492,0.14889845,-0.0037035346,,,molecular layer|rest
SORBS1,0.08254682,0.08626855,-0.003721729,,,molecular layer|rest
DTNA,0.10757898,0.11135731,-0.003778331,,,molecular layer|rest
RERE,0.09687519,0.100674696,-0.0037995055,,,molecular layer|rest
CYFIP2,0.09746194,0.10127446,-0.0038125217,,,molecular layer|rest
YPEL,0.061571147,0.06541454,-0.0038433932,,,molecular layer|rest
MAPRE2,0.07328981,0.07716696,-0.003877148,,,molecular layer|rest
RAPGEF2,0.075646214,0.07954612,-0.003899902,,,molecular layer|rest
CELF2,0.06739873,0.07131278,-0.0039140508,,,molecular layer|rest
BEX2,0.08052555,0.084456556,-0.0039310083,,,molecular layer|rest
CAMTA1,0.12291728,0.12686379,-0.003946513,,,molecular layer|rest
SQSTM1,0.08256143,0.08653388,-0.0039724484,,,molecular layer|rest
KIF5C,0.18459022,0.1886824,-0.0040921867,,,molecular layer|rest
PRDX2,0.09759435,0.101886675,-0.004292324,,,molecular layer|rest
ATRX,0.078506045,0.082838595,-0.00433255,,,molecular layer|rest
SH3GL2,0.11478307,0.11912884,-0.004345767,,,molecular layer|rest
SGK1,0.08265123,0.08700684,-0.0043556094,,,molecular layer|rest
NR2F1,0.08431857,0.08868162,-0.0043630525,,,molecular layer|rest
HECTD1,0.10350424,0.10791518,-0.0044109374,,,molecular layer|rest
PHPT1,0.11569899,0.12017275,-0.0044737533,,,molecular layer|rest
NOP53,0.07614053,0.08071501,-0.0045744777,,,molecular layer|rest
DKK3,0.0660831,0.070684604,-0.004601501,,,molecular layer|rest
AKT3,0.09035175,0.09495473,-0.004602976,,,molecular layer|rest
APBB1,0.07021534,0.07481983,-0.004604496,,,molecular layer|rest
PEA15,0.11052188,0.115283445,-0.0047615618,,,molecular layer|rest
PSMA7,0.08722042,0.09198881,-0.0047683865,,,molecular layer|rest
COG5,0.08224182,0.08702433,-0.004782513,,,molecular layer|rest
SMDT1,0.119453885,0.124299735,-0.00484585,,,molecular layer|rest
BEX1,0.07270102,0.07767831,-0.004977286,,,molecular layer|rest
PRKG1,0.07660945,0.08159295,-0.0049834996,,,molecular layer|rest
NDUFS4,0.08120933,0.086251296,-0.0050419644,,,molecular layer|rest
ATP1A3,0.08655883,0.09166312,-0.0051042885,,,molecular layer|rest
ABI2,0.092981026,0.098093025,-0.005112,,,molecular layer|rest
LRP1,0.0686686,0.07390724,-0.005238645,,,molecular layer|rest
ARL2,0.06881364,0.07417453,-0.005360894,,,molecular layer|rest
PI4KA,0.06635065,0.07172717,-0.005376525,,,molecular layer|rest
PPP1R36,0.057902504,0.06331462,-0.005412113,,,molecular layer|rest
CHD2,0.07227258,0.07776795,-0.005495377,,,molecular layer|rest
GABRG2,0.119001105,0.124564685,-0.0055635795,,,molecular layer|rest
CLASP2,0.07648551,0.08205495,-0.005569443,,,molecular layer|rest
NEFL,0.069133826,0.07471343,-0.0055796057,,,molecular layer|rest
SNTG1,0.09077078,0.09640229,-0.0056315064,,,molecular layer|rest
