gene,mean_bulge,mean_dent,lfc,p_geomnull,null_sd,interface
Spink1,1.4495730194051695,1.294928905580168,0.15464411382500143,0.004975124378109453,0.05077299690382094,ExE endoderm
Emb,0.8916305810706378,0.7797293071191371,0.11190127395150062,0.009950248756218905,0.028218382460482846,ExE endoderm
Slc16a1,0.610765038925678,0.5100560111296458,0.10070902779603219,0.004975124378109453,0.021444158770854586,ExE endoderm
H19,1.0144970239400781,0.9253361823304589,0.08916084160961923,0.004975124378109453,0.02523066547612972,ExE endoderm
Car4,0.5436872864240291,0.4568220191382184,0.08686526728581068,0.004975124378109453,0.021524114841652536,ExE endoderm
Ttr,1.0750976923167306,0.9965140015732916,0.07858369074343896,0.208955223880597,0.04603790481104328,ExE endoderm
Tceal9,0.5826709734278418,0.5054291508650757,0.07724182256276613,,,ExE endoderm
Slc2a3,0.9754348866280511,0.9002261581996752,0.07520872842837589,,,ExE endoderm
Peg3,0.26747664193748816,0.19471365178179686,0.07276299015569129,,,ExE endoderm
Dynll1,0.6101678681260093,0.5380227348485915,0.07214513327741778,,,ExE endoderm
Slc25a5,0.3743717250858058,0.3096925600123215,0.06467916507348431,,,ExE endoderm
Mif,0.6706809418927199,0.6066131819303034,0.06406775996241643,,,ExE endoderm
Cubn,0.4605415365875024,0.40512516706518426,0.055416369522318154,,,ExE endoderm
Npm1,0.9570850985622131,0.9016750532171721,0.055410045345041015,,,ExE endoderm
Dab2,0.3601712491113808,0.30622289312980966,0.05394835598157116,,,ExE endoderm
Gpc3,0.3371735646109866,0.2844478803843376,0.05272568422664897,,,ExE endoderm
Apoe,1.0559194757391104,1.0032077423882573,0.05271173335085311,,,ExE endoderm
Rpl35,0.8033232719377763,0.751144826565817,0.05217844537195926,,,ExE endoderm
Gnb1,0.23796608473217176,0.18791139607314825,0.050054688659023516,,,ExE endoderm
Ctsh,0.3046242315156759,0.25679903936959503,0.047825192146080886,,,ExE endoderm
Bex3,0.40482569270056395,0.357407587223891,0.04741810547667297,,,ExE endoderm
Tma7,0.3032456360047423,0.2564583076889249,0.04678732831581739,,,ExE endoderm
Serbp1,0.5286127778531715,0.48236256198094385,0.04625021587222766,,,ExE endoderm
Rps14,1.3125958931509263,1.267823643895768,0.044772249255158325,,,ExE endoderm
Rpl11,1.0187646575757183,0.9749271157721136,0.043837541803604774,,,ExE endoderm
Rps2,1.2506813807418895,1.2075261048733739,0.04315527586851564,,,ExE endoderm
Atp5g1,0.3256759611266475,0.2826517120036656,0.04302424912298186,,,ExE endoderm
Ncl,0.6147278513000882,0.5717766217594719,0.042951229540616365,,,ExE endoderm
Eef2,0.6137037849886134,0.5719781012127123,0.041725683775901135,,,ExE endoderm
Polr2f,0.2316642278239455,0.18995317713053708,0.041711050693408414,,,ExE endoderm
Rpl32,1.145758767615243,1.1040565908861266,0.04170217672911636,,,ExE endoderm
Apoa1,0.9019078723768705,0.8602416141760589,0.0416662582008116,,,ExE endoderm
Rbp4,0.7658605716813172,0.7249284115625524,0.04093216011876477,,,ExE endoderm
Rps25,0.5069317077945642,0.46606450887671785,0.04086719891784635,,,ExE endoderm
Bex1,0.42942147199475633,0.388957679856248,0.040463792138508314,,,ExE endoderm
Hnrnpf,0.21306961004793623,0.17277832219561878,0.04029128785231745,,,ExE endoderm
Oat,0.22071624286503147,0.18052203521938665,0.040194207645644825,,,ExE endoderm
Aprt,0.6009210154032263,0.5611458419038508,0.03977517349937554,,,ExE endoderm
Apom,0.6319760042177223,0.5927260251993985,0.03924997901832372,,,ExE endoderm
Nap1l1,0.4188327463074844,0.37985033507690935,0.038982411230575054,,,ExE endoderm
Bex4,0.3328553373710233,0.29416722965693765,0.03868810771408565,,,ExE endoderm
