interface,gene,mean_bulge,mean_dent,lfc,p_geomnull,null_sd
midgut,epsilonTry,2.0027726,1.2141559,0.78861666,0.004975124378109453,0.11172516586500728
midgut,deltaTry,2.2156706,1.6833338,0.53233683,0.014925373134328358,0.19447503580192602
midgut,Jon99Ciii,2.573891,2.0664515,0.5074394,0.004975124378109453,0.12224059978072754
midgut,Jon99Cii,2.4939413,2.0386658,0.45527554,0.004975124378109453,0.1293266644534947
midgut,Jon25Bii,1.4411668,0.9948997,0.44626707,0.01990049751243781,0.11478541068201313
midgut,CG18180,1.6974194,1.3117298,0.38568962,0.004975124378109453,0.08517208057445455
midgut,betaTry,0.9619567,0.58055925,0.38139743,,
midgut,CG5767,0.8639187,0.49050042,0.3734183,,
midgut,mt:lrRNA,1.2230895,0.8849979,0.33809155,,
midgut,alphaTry,0.8169689,0.5066484,0.3103205,,
midgut,Jon25Biii,1.8710873,1.5650008,0.30608654,,
midgut,CG6403,0.84254503,0.55101097,0.29153407,,
midgut,Jon65Aiii,1.974706,1.691442,0.28326404,,
midgut,CG30031,0.6784613,0.40192848,0.27653283,,
midgut,Jon44E,1.0308547,0.7629068,0.2679479,,
midgut,CG5399,0.8557227,0.59279865,0.26292408,,
midgut,Muc55B,0.40234572,0.14189036,0.26045537,,
midgut,Jon66Ci,2.1252577,1.8833648,0.24189293,,
midgut,Jon99Fii,0.83950144,0.60443556,0.23506588,,
midgut,thetaTry,0.3963549,0.16401283,0.23234208,,
midgut,CG33128,0.56781375,0.33574504,0.23206872,,
midgut,Jon65Aiv,2.3076146,2.0775914,0.23002315,,
midgut,Jon25Bi,0.94479907,0.71857405,0.22622502,,
midgut,Vha16-1,0.92239696,0.69724107,0.22515589,,
midgut,yip7,1.6671848,1.4451603,0.22202456,,
midgut,dpr2,1.0651588,0.8584988,0.20666003,,
midgut,CG8560,0.48009932,0.27372023,0.20637909,,
midgut,Jon65Ai,0.9244575,0.7380419,0.18641561,,
midgut,mt:CoII,1.3167089,1.1433247,0.17338419,,
midgut,pre-rRNA:CR45856,1.0272167,0.861627,0.16558969,,
midgut,CG10910,0.34940386,0.18466318,0.16474068,,
midgut,CG7290,0.48860034,0.32772136,0.16087899,,
midgut,CG31041,0.27186045,0.11164809,0.16021237,,
midgut,Vha68-2,0.4936255,0.3338717,0.1597538,,
midgut,Peritrophin-15a,1.6340905,1.4761971,0.15789342,,
midgut,CG8661,0.5006199,0.34581608,0.15480381,,
midgut,CG3868,0.5787644,0.42887536,0.14988902,,
midgut,CG10912,0.24480665,0.09578787,0.14901878,,
midgut,Vha55,0.6286995,0.480486,0.14821348,,
midgut,Jon99Fi,0.6424583,0.49471027,0.14774805,,
midgut,CG15423,0.5700559,0.4237396,0.14631629,,
midgut,Muc18B,0.35015717,0.20506679,0.14509039,,
midgut,Vha26,0.40341082,0.26265684,0.14075398,,
midgut,mt:CoI,1.4358119,1.3028039,0.133008,,
midgut,CG17571,0.65483856,0.52220035,0.13263822,,
midgut,Tsp42Ec,0.30024508,0.18120803,0.11903705,,
midgut,Amy-p,0.61360705,0.49481565,0.1187914,,
midgut,CG3819,0.23902965,0.12111482,0.117914826,,
midgut,Vha13,0.8922123,0.7743894,0.117822886,,
midgut,LysB,0.30594873,0.19208497,0.113863766,,
midgut,CG6296,0.20948176,0.09684431,0.11263745,,
midgut,CG32302,0.42679065,0.31519285,0.111597806,,
midgut,Vha100-4,0.16411339,0.05490626,0.10920712,,
midgut,Jon66Cii,0.28067532,0.17171729,0.108958036,,
midgut,Jon65Aii,0.43680114,0.33202145,0.10477969,,
midgut,mt:ATPase6,1.2989681,1.1942811,0.104686975,,
midgut,CG9682,0.36285195,0.2586458,0.104206145,,
midgut,mt:Cyt-b,0.8722369,0.7710566,0.101180315,,
midgut,Ag5r2,0.9099562,0.8090788,0.100877404,,
midgut,CG17633,0.37195456,0.27633864,0.09561592,,
midgut,CG31446,0.13155651,0.037493866,0.09406264,,
midgut,VhaM9.7-b,0.4515344,0.35768086,0.09385353,,
midgut,VhaAC39-1,0.32291037,0.23143442,0.09147595,,
midgut,RNASEK,0.52051073,0.43124223,0.089268506,,
midgut,CG6933,0.59096485,0.5017241,0.08924073,,
midgut,CG7298,0.42492378,0.3357243,0.08919948,,
midgut,VhaAC45,0.2666424,0.17946112,0.08718127,,
midgut,RpL37a,0.9943926,0.90919363,0.08519894,,
midgut,mt:CoIII,1.0623679,0.978444,0.083923936,,
midgut,CG5770,0.17589614,0.09250456,0.08339158,,
midgut,CG8562,0.1495658,0.06727617,0.08228963,,
midgut,RpL39,1.4933361,1.4110827,0.08225334,,
midgut,mt:ND4,0.3903758,0.30844912,0.08192667,,
midgut,CAH1,0.24513951,0.16445328,0.08068623,,
midgut,Drip,0.1804857,0.10135527,0.079130426,,
midgut,CG4734,0.17604594,0.09881026,0.07723568,,
midgut,CG18493,0.19617613,0.12155178,0.074624345,,
midgut,CG43774,0.2167848,0.14240438,0.07438043,,
midgut,VhaPPA1-1,0.28347892,0.21154986,0.07192905,,
midgut,Vha14-1,0.37858224,0.30896118,0.06962106,,
midgut,Vha36-1,0.3029402,0.23513454,0.06780565,,
midgut,Npc2f,0.17985696,0.113693,0.06616396,,
midgut,CG15422,0.25270125,0.18656354,0.066137716,,
midgut,gammaTry,0.15031807,0.0903631,0.05995497,,
midgut,Vha44,0.2123299,0.15311603,0.05921386,,
midgut,Fer1HCH,0.21968248,0.1607443,0.05893819,,
midgut,CG10911,0.11107366,0.052410867,0.05866279,,
midgut,CG30479,0.14506997,0.08703074,0.058039233,,
midgut,PGRP-SC2,0.13965097,0.08221223,0.05743874,,
midgut,mt:ND1,0.16202068,0.105445445,0.05657524,,
midgut,Mal-A6,0.073865294,0.017554905,0.05631039,,
midgut,VhaSFD,0.1760319,0.12136616,0.054665744,,
midgut,CG13323,0.4083949,0.35444045,0.053954452,,
midgut,eEF2,0.5269052,0.4730147,0.053890467,,
midgut,CG6996,0.08655096,0.032759767,0.05379119,,
midgut,CG34026,0.092356645,0.044065263,0.04829138,,
midgut,CG30025,0.086803794,0.039216388,0.047587406,,
midgut,hiro,0.13333517,0.086032845,0.047302328,,
midgut,COX8,0.7260441,0.67924106,0.046803057,,
midgut,18SrRNA-Psi:CR41602,0.2919669,0.24574564,0.04622124,,
midgut,Amy-d,0.24430098,0.19851741,0.045783564,,
midgut,eEF1alpha1,1.2342852,1.1885319,0.04575336,,
midgut,CG5773,0.256184,0.21185017,0.044333845,,
midgut,ATPsynbeta,0.73548526,0.69121885,0.044266403,,
midgut,CG7252,0.13010156,0.08602862,0.04407294,,
midgut,mt:ND5,0.10473014,0.062385805,0.04234433,,
midgut,CG5883,0.09300902,0.05083269,0.04217633,,
midgut,CG6484,0.072413936,0.030728122,0.041685812,,
