specimen,interface,gene,mean_bulge,mean_dent,lfc,p_geomnull,null_sd
PUPA-72h_cellbin,CNS primordium,CG13071,0.76462764,0.2506731,0.5139545,0.009950248756218905,0.04539482363215752
PUPA-72h_cellbin,CNS primordium,CG42540,0.5115877,0.19674103,0.31484663,0.9601990049751243,0.018934459529152913
PUPA-72h_cellbin,CNS primordium,VGlut,0.5688253,0.27401292,0.29481238,0.01990049751243781,0.03227249246283461
PUPA-72h_cellbin,CNS primordium,CG8369,0.58326495,0.289481,0.29378393,0.39800995024875624,0.0243198575317536
PUPA-72h_cellbin,CNS primordium,RpL15,1.2541888,1.0172566,0.23693216,0.04477611940298507,0.025447342362923314
PUPA-72h_cellbin,CNS primordium,Obp44a,3.6284897,3.408939,0.21955085,0.23383084577114427,0.06939681950774912
PUPA-72h_cellbin,CNS primordium,Vajk4,0.60192156,0.4032631,0.19865847,,
PUPA-72h_cellbin,CNS primordium,CG15209,0.55979717,0.36156785,0.19822931,,
PUPA-72h_cellbin,CNS primordium,CG13231,0.6504098,0.46929643,0.18111339,,
PUPA-72h_cellbin,CNS primordium,RpS25,1.6408839,1.4679832,0.17290068,,
PUPA-72h_cellbin,CNS primordium,His3.3B,0.45165986,0.28261957,0.16904029,,
PUPA-72h_cellbin,CNS primordium,RpS8,0.95078516,0.7834127,0.16737247,,
PUPA-72h_cellbin,CNS primordium,RpS28b,1.0898868,0.92277414,0.16711265,,
PUPA-72h_cellbin,CNS primordium,RpL23,1.1862216,1.020495,0.16572654,,
PUPA-72h_cellbin,CNS primordium,RpS30,1.0827135,0.9198499,0.16286361,,
PUPA-72h_cellbin,CNS primordium,Obp99b,0.51307505,0.35102215,0.1620529,,
PUPA-72h_cellbin,CNS primordium,Cpr30F,0.6960422,0.53793836,0.15810382,,
PUPA-72h_cellbin,CNS primordium,Cpr30B,0.74939495,0.59997904,0.14941591,,
PUPA-72h_cellbin,CNS primordium,RpS9,0.9467648,0.80329317,0.14347166,,
PUPA-72h_cellbin,CNS primordium,Acp65Aa,1.0700314,0.92691904,0.14311236,,
PUPA-72h_cellbin,CNS primordium,RpL5,1.0799234,0.93763256,0.14229083,,
PUPA-72h_cellbin,CNS primordium,RpS3,0.7692935,0.62758374,0.14170974,,
PUPA-72h_cellbin,CNS primordium,OtopLa,0.56376386,0.42311335,0.14065051,,
PUPA-72h_cellbin,CNS primordium,Mtk,0.58238333,0.44194168,0.14044166,,
PUPA-72h_cellbin,CNS primordium,nrv3,0.89143115,0.75993836,0.1314928,,
PUPA-72h_cellbin,CNS primordium,Lsp2,0.5864087,0.45941448,0.1269942,,
PUPA-72h_cellbin,CNS primordium,Oda,0.58068675,0.45617658,0.12451017,,
PUPA-72h_cellbin,CNS primordium,Atpalpha,0.9431067,0.8193323,0.12377441,,
PUPA-72h_cellbin,CNS primordium,RpL28,0.725618,0.60333294,0.12228507,,
PUPA-72h_cellbin,CNS primordium,sif,0.62115425,0.5006561,0.12049812,,
PUPA-72h_cellbin,CNS primordium,eIF4A,0.5085052,0.3881206,0.12038463,,
PUPA-72h_cellbin,CNS primordium,MtnA,0.45457554,0.33919033,0.115385205,,
PUPA-72h_cellbin,CNS primordium,Obp99c,0.40136322,0.28798908,0.113374144,,
PUPA-72h_cellbin,CNS primordium,RpS17,0.79330647,0.6807643,0.11254215,,
PUPA-72h_cellbin,CNS primordium,Ggamma30A,0.7864894,0.67457235,0.11191708,,
PUPA-72h_cellbin,CNS primordium,RpL23A,0.6721742,0.5618833,0.110290945,,
PUPA-72h_cellbin,CNS primordium,RpS14a,0.8768788,0.7666856,0.11019319,,
PUPA-72h_cellbin,CNS primordium,RpL26,0.5704915,0.46197104,0.10852045,,
PUPA-72h_cellbin,CNS primordium,RpS15,1.0179664,0.9099323,0.108034074,,
PUPA-72h_cellbin,CNS primordium,CG13042,1.2176375,1.1100053,0.10763228,,
PUPA-72h_cellbin,CNS primordium,Fbp1,0.2863858,0.17938253,0.10700327,,
PUPA-72h_cellbin,CNS primordium,RpL18,0.57986474,0.47297546,0.10688928,,
PUPA-72h_cellbin,CNS primordium,Nckx30C,0.3557757,0.24995914,0.10581657,,
PUPA-72h_cellbin,CNS primordium,eEF1alpha2,0.63223815,0.5274431,0.10479504,,
PUPA-72h_cellbin,CNS primordium,RpS26,0.7265001,0.6311304,0.0953697,,
PUPA-72h_cellbin,CNS primordium,Rbp6,0.31445107,0.21913134,0.09531973,,
PUPA-72h_cellbin,CNS primordium,RpS5a,0.84206367,0.74753624,0.09452742,,
PUPA-72h_cellbin,CNS primordium,Bacc,0.34704083,0.25262904,0.09441179,,
PUPA-72h_cellbin,CNS primordium,RpL17,0.5122394,0.41790187,0.09433752,,
PUPA-72h_cellbin,CNS primordium,DptA,0.5332605,0.43951732,0.093743205,,
PUPA-72h_cellbin,CNS primordium,RpL22,0.60692245,0.5141954,0.092727065,,
PUPA-72h_cellbin,CNS primordium,RpL27A,0.9135949,0.82111883,0.09247607,,
PUPA-72h_cellbin,CNS primordium,RpL21,0.9576185,0.8652079,0.092410564,,
PUPA-72h_cellbin,CNS primordium,RpL40,1.0380003,0.9466917,0.09130865,,
PUPA-72h_cellbin,CNS primordium,CG3513,0.46663368,0.37561184,0.091021836,,
PUPA-72h_cellbin,CNS primordium,miple1,0.40041846,0.31068587,0.08973259,,
PUPA-72h_cellbin,CNS primordium,Act79B,0.33517617,0.2468792,0.088296965,,
PUPA-72h_cellbin,CNS primordium,nrv2,0.29003462,0.20313421,0.08690041,,
PUPA-72h_cellbin,CNS primordium,MESK2,0.3129278,0.2260381,0.086889714,,
PUPA-72h_cellbin,CNS primordium,CG13364,0.35453358,0.2680302,0.08650339,,
PUPA-72h_cellbin,CNS primordium,RpL11,0.56778514,0.4816194,0.086165756,,
PUPA-72h_cellbin,CNS primordium,RpL37a,1.1291685,1.0433944,0.085774064,,
PUPA-72h_cellbin,CNS primordium,RpLP1,0.9950582,0.90958977,0.08546841,,
PUPA-72h_cellbin,CNS primordium,CG34461,1.1163378,1.032475,0.08386278,,
PUPA-72h_cellbin,CNS primordium,RpL31,0.87752146,0.7939505,0.08357096,,
PUPA-72h_cellbin,CNS primordium,Vajk1,0.2834016,0.20092225,0.08247936,,
