gene,mean_bulge,mean_dent,lfc,p_geomnull,null_sd,interface
PTHLH,0.98502845,0.7737616,0.21126688,0.004975124378109453,0.022363554426041397,tumor|nontumor
FTH1,1.4186676,1.2794251,0.13924241,0.004975124378109453,0.012591779507655198,tumor|nontumor
SLC2A1,0.42799076,0.29036862,0.13762215,0.004975124378109453,0.011898344090845532,tumor|nontumor
KRT17,0.7400678,0.61333424,0.12673354,0.004975124378109453,0.011050886692524508,tumor|nontumor
AMTN,0.8693013,0.7548561,0.11444521,0.004975124378109453,0.020788094175765923,tumor|nontumor
EGLN3,0.28655455,0.19039977,0.09615478,0.004975124378109453,0.006419106493271485,tumor|nontumor
TGFBI,0.59376144,0.5022651,0.09149635,,,tumor|nontumor
NDUFA4L2,0.19139977,0.10965542,0.08174435,,,tumor|nontumor
MT2A,0.5469945,0.46640128,0.08059323,,,tumor|nontumor
LAMC2,0.47408473,0.40670595,0.06737879,,,tumor|nontumor
SERPINE1,0.17695914,0.11472509,0.06223405,,,tumor|nontumor
GAPDH,0.35924813,0.2973945,0.061853617,,,tumor|nontumor
ACTB,1.5418752,1.4819715,0.05990374,,,tumor|nontumor
FSCN1,0.29058015,0.23424569,0.056334466,,,tumor|nontumor
HSPA2,0.44011655,0.38410518,0.05601138,,,tumor|nontumor
SFN,0.8250521,0.77311194,0.051940143,,,tumor|nontumor
LGALS1,0.42775705,0.3774612,0.05029586,,,tumor|nontumor
LDHA,0.3608748,0.3143437,0.04653111,,,tumor|nontumor
ITGA6,0.25027153,0.20711797,0.043153554,,,tumor|nontumor
S100A10,0.4498387,0.40766716,0.042171538,,,tumor|nontumor
TMSB10,0.5314584,0.49046457,0.04099381,,,tumor|nontumor
KRT14,0.568479,0.5280228,0.040456176,,,tumor|nontumor
TIMP3,0.13805594,0.098136075,0.03991986,,,tumor|nontumor
ATP1B1,0.25114807,0.21192937,0.03921871,,,tumor|nontumor
ERO1A,0.12385817,0.08656575,0.03729242,,,tumor|nontumor
H3-3B,0.56568444,0.52967733,0.036007106,,,tumor|nontumor
COL17A1,0.17150392,0.13673179,0.034772128,,,tumor|nontumor
IGFL1,0.1277781,0.093527995,0.034250103,,,tumor|nontumor
JUN,0.20075329,0.16683216,0.033921123,,,tumor|nontumor
GJB6,0.10581875,0.07223188,0.033586867,,,tumor|nontumor
SPP1,0.13846257,0.10497394,0.03348863,,,tumor|nontumor
TAGLN2,0.5877269,0.55524856,0.032478333,,,tumor|nontumor
TRPM3,0.8099959,0.77794546,0.03205043,,,tumor|nontumor
SDC1,0.34523597,0.31386173,0.031374246,,,tumor|nontumor
PPFIBP1,0.2702915,0.23892923,0.03136228,,,tumor|nontumor
ENO1,0.2911139,0.2597948,0.03131911,,,tumor|nontumor
