gene,mean_bulge,mean_dent,lfc,p_geomnull,null_sd,interface
fabp1b.1,1.6921564,1.3025761,0.38958037,0.7263681592039801,0.08081757867002809,Yolk Syncytial Layer
gpx4a,2.1529205,1.7768728,0.37604773,0.835820895522388,0.11394512517726582,Yolk Syncytial Layer
AL935186.10,1.256176,0.89680165,0.35937434,0.6368159203980099,0.033977436206688263,Yolk Syncytial Layer
rps17,2.1909978,1.8394624,0.35153544,0.05472636815920398,0.03621948053560248,Yolk Syncytial Layer
glula,2.5351398,2.1848705,0.35026932,0.900497512437811,0.08234955869242717,Yolk Syncytial Layer
anxa1a,1.4062891,1.0787945,0.32749462,0.6169154228855721,0.05938667555446241,Yolk Syncytial Layer
rpl38,2.3212087,1.9937413,0.32746744,,,Yolk Syncytial Layer
rps27.1,2.192632,1.8673599,0.32527208,,,Yolk Syncytial Layer
apoc2,0.8943182,0.5694008,0.32491744,,,Yolk Syncytial Layer
rpl11,3.0332623,2.711345,0.3219173,,,Yolk Syncytial Layer
ctsc,1.3499315,1.0292448,0.3206867,,,Yolk Syncytial Layer
rpl39,3.242021,2.9257545,0.31626654,,,Yolk Syncytial Layer
tfa,1.9839705,1.6708739,0.31309664,,,Yolk Syncytial Layer
slc25a5,2.3306296,2.029132,0.3014977,,,Yolk Syncytial Layer
rpl28,2.5633686,2.2729926,0.29037595,,,Yolk Syncytial Layer
txn,1.5519505,1.2617216,0.29022884,,,Yolk Syncytial Layer
fetub,0.9300073,0.6400343,0.28997296,,,Yolk Syncytial Layer
mvp,1.0960221,0.8133443,0.28267783,,,Yolk Syncytial Layer
rps15a,2.8569999,2.5761013,0.28089857,,,Yolk Syncytial Layer
tpk1,3.2495368,2.9768639,0.2726729,,,Yolk Syncytial Layer
paics,1.4452928,1.1839101,0.2613827,,,Yolk Syncytial Layer
cst3,2.316133,2.056377,0.2597561,,,Yolk Syncytial Layer
rpl15,2.6477396,2.39097,0.25676966,,,Yolk Syncytial Layer
rps9,2.2129097,1.9628711,0.25003862,,,Yolk Syncytial Layer
sec61g,1.1118296,0.86329174,0.2485379,,,Yolk Syncytial Layer
aldob,3.6321352,3.3935568,0.23857832,,,Yolk Syncytial Layer
serf2,0.9825594,0.74606854,0.23649085,,,Yolk Syncytial Layer
rpl32,2.9797604,2.7464812,0.23327923,,,Yolk Syncytial Layer
fabp2,2.3785384,2.1466439,0.2318945,,,Yolk Syncytial Layer
rpl22,2.073138,1.8417927,0.2313453,,,Yolk Syncytial Layer
gatm,1.7676464,1.5365103,0.23113608,,,Yolk Syncytial Layer
rps28,3.031642,2.800541,0.23110104,,,Yolk Syncytial Layer
serpina1l,0.5561672,0.32882738,0.2273398,,,Yolk Syncytial Layer
rpl18,2.7919934,2.567165,0.22482848,,,Yolk Syncytial Layer
uba52,1.7858168,1.5629311,0.22288573,,,Yolk Syncytial Layer
mthfd1b,0.9929067,0.7725612,0.2203455,,,Yolk Syncytial Layer
rpl23,3.5245888,3.3045964,0.2199924,,,Yolk Syncytial Layer
sec61b,1.2219245,1.0019413,0.21998322,,,Yolk Syncytial Layer
tpt1,2.6182365,2.3993833,0.21885324,,,Yolk Syncytial Layer
bhmt,2.5871632,2.3689613,0.21820188,,,Yolk Syncytial Layer
rpl17,2.2368395,2.0239449,0.21289468,,,Yolk Syncytial Layer
npc2,1.8819131,1.6690474,0.21286571,,,Yolk Syncytial Layer
ctss2.1,1.6971401,1.4845803,0.21255982,,,Yolk Syncytial Layer
rpl22l1,1.9014759,1.6897557,0.21172023,,,Yolk Syncytial Layer
zgc:136410,0.7631818,0.5524161,0.21076572,,,Yolk Syncytial Layer
rpl14,1.6629975,1.4558439,0.20715356,,,Yolk Syncytial Layer
rps3,2.7971928,2.5902073,0.20698547,,,Yolk Syncytial Layer
zgc:193541,1.1076121,0.9006845,0.20692766,,,Yolk Syncytial Layer
rps23,3.6905963,3.4846494,0.20594692,,,Yolk Syncytial Layer
rps20,4.6488276,4.4430118,0.20581579,,,Yolk Syncytial Layer
apoa1a,3.0506475,2.8466976,0.20394993,,,Yolk Syncytial Layer
rpl30,3.1113012,2.9078665,0.2034347,,,Yolk Syncytial Layer
apoa1b,2.5009024,2.2986197,0.20228267,,,Yolk Syncytial Layer
rps8a,2.0965552,1.8951974,0.20135784,,,Yolk Syncytial Layer
serp1,0.85344976,0.65262157,0.2008282,,,Yolk Syncytial Layer
gngt2a,0.7920122,0.59197646,0.20003575,,,Yolk Syncytial Layer
rps3a,2.02208,1.8247051,0.19737482,,,Yolk Syncytial Layer
rpl8,1.8737388,1.6773751,0.19636369,,,Yolk Syncytial Layer
spaca4l,2.5685563,2.3727794,0.19577694,,,Yolk Syncytial Layer
snrpg,1.2754053,1.0798653,0.19553995,,,Yolk Syncytial Layer
apoa2,1.9579093,1.7637924,0.19411695,,,Yolk Syncytial Layer
rpl13a,2.5650198,2.3719926,0.19302726,,,Yolk Syncytial Layer
krt99,0.7760824,0.58470225,0.19138014,,,Yolk Syncytial Layer
si:ch211-152c2.3,1.330265,1.1395863,0.19067872,,,Yolk Syncytial Layer
rps27a,3.7266066,3.5370517,0.18955493,,,Yolk Syncytial Layer
rps29,2.8382363,2.651033,0.1872034,,,Yolk Syncytial Layer
fbp1b,1.4586695,1.2721202,0.1865493,,,Yolk Syncytial Layer
faua,2.0137072,1.8275895,0.18611765,,,Yolk Syncytial Layer
zgc:171772,2.7237191,2.5378556,0.1858635,,,Yolk Syncytial Layer
selenow1,0.9700021,0.7848738,0.18512833,,,Yolk Syncytial Layer
gapdh,0.9702556,0.7914573,0.17879832,,,Yolk Syncytial Layer
ifi30,1.348743,1.1706241,0.17811882,,,Yolk Syncytial Layer
dbi,0.87207925,0.6951404,0.17693883,,,Yolk Syncytial Layer
rpl37,3.1076186,2.9328191,0.17479944,,,Yolk Syncytial Layer
rps26,2.132635,1.9595286,0.17310655,,,Yolk Syncytial Layer
AL935186.2,0.31785855,0.14539984,0.17245871,,,Yolk Syncytial Layer
rpl31,2.593932,2.4225035,0.17142844,,,Yolk Syncytial Layer
rps7,3.3039696,3.13293,0.17103958,,,Yolk Syncytial Layer
mt2,0.5883741,0.4188359,0.16953817,,,Yolk Syncytial Layer
krt5,2.2272944,2.0577981,0.1694963,,,Yolk Syncytial Layer
RPS17,1.720207,1.5515498,0.16865718,,,Yolk Syncytial Layer
s100a1,1.1353765,0.96673906,0.1686374,,,Yolk Syncytial Layer
rplp0,3.3178575,3.150407,0.16745043,,,Yolk Syncytial Layer
pfn1,1.3359145,1.1693313,0.16658318,,,Yolk Syncytial Layer
rps13,3.159137,2.9940593,0.16507769,,,Yolk Syncytial Layer
rpl36,2.7809358,2.6162188,0.16471696,,,Yolk Syncytial Layer
pfdn4,0.62773806,0.46716163,0.16057643,,,Yolk Syncytial Layer
tmsb1,2.3610578,2.201619,0.15943885,,,Yolk Syncytial Layer
rpl36a,3.0810294,2.9224284,0.15860105,,,Yolk Syncytial Layer
ak3,1.038242,0.87964296,0.15859902,,,Yolk Syncytial Layer
rps12,4.6179934,4.4597473,0.15824604,,,Yolk Syncytial Layer
anxa6,0.52040124,0.36374226,0.15665898,,,Yolk Syncytial Layer
rps18,2.525894,2.370802,0.155092,,,Yolk Syncytial Layer
slc31a1,0.44003522,0.2867067,0.15332854,,,Yolk Syncytial Layer
rps25,3.1638894,3.0148761,0.14901328,,,Yolk Syncytial Layer
rpl21,2.1326115,1.9845169,0.14809465,,,Yolk Syncytial Layer
pck2,1.3955127,1.2474377,0.14807498,,,Yolk Syncytial Layer
rpl13,2.0006292,1.8536303,0.14699888,,,Yolk Syncytial Layer
rps16,1.9186422,1.7737663,0.14487588,,,Yolk Syncytial Layer
krt18a.1,2.8292844,2.6857185,0.1435659,,,Yolk Syncytial Layer
znrf2a,0.8130832,0.6700294,0.14305377,,,Yolk Syncytial Layer
h1-0,0.5040477,0.36159477,0.14245293,,,Yolk Syncytial Layer
