gene,obs_lfc,null_sd,p_geomnull,interface
ATMG00030,0.34355974,0.029337727646433758,0.03482587064676617,epidermis|rest
ATMG00020,0.31287336,0.03310341830882954,0.12935323383084577,epidermis|rest
ATCG00270,0.30441117,0.04156989733734765,0.48756218905472637,epidermis|rest
ATCG00950,0.27022362,0.038051738646319506,0.9104477611940298,epidermis|rest
ATCG00450,0.25419486,0.038844587807045375,0.2885572139303483,epidermis|rest
ATCG00920,0.25128293,0.034926613280293076,0.7213930348258707,epidermis|rest
AT1G55670,-0.24293792,0.0409287114899221,0.01990049751243781,epidermis|rest
AT2G30570,-0.24880397,0.04146258199069298,0.07960199004975124,epidermis|rest
AT5G64040,-0.25407147,0.03726100110583759,0.004975124378109453,epidermis|rest
AT4G12800,-0.27414668,0.04434258877124002,0.05970149253731343,epidermis|rest
AT3G09390,-0.31395388,0.04538220593692385,0.004975124378109453,epidermis|rest
AT1G67090,-0.32105923,0.04201847531584817,0.2835820895522388,epidermis|rest
