gene,obs_lfc,null_sd,p_geomnull,interface
AMEX60DD047169,0.17614353,0.03565269371242415,0.004975124378109453,VLMC
MATR3 | AMEX60DD029071,0.13915741,0.023947937802841632,0.004975124378109453,VLMC
LOC108918534[nr]|TUBA1C[hs] | AMEX60DD029963,0.13550901,0.03890142303770863,0.004975124378109453,VLMC
AMEX60DD041777,0.13469654,0.021664559645830507,0.004975124378109453,VLMC
ID4 | AMEX60DD038483,0.1328314,0.026935852731850743,0.004975124378109453,VLMC
H355_001130[nr]|GAD2[hs] | AMEX60DD021875,0.1309377,0.027796469095703658,0.004975124378109453,VLMC
SPARC | AMEX60DD030096,-0.16354072,0.04782692720900194,0.004975124378109453,VLMC
LOC115075212[nr]|CTSV[hs] | AMEX60DD007096,-0.17863253,0.051225773347814856,0.004975124378109453,VLMC
COL3A1 | AMEX60DD055165,-0.2033087,0.05667299464665168,0.004975124378109453,VLMC
AB205_0119900[nr]|LUM[hs] | AMEX60DD007586,-0.2530806,0.07044714169828263,0.004975124378109453,VLMC
RBP4 | AMEX60DD052620,-0.3488719,0.10329720223513912,0.004975124378109453,VLMC
AGT | AMEX60DD035333,-0.36948222,0.10392449711023065,0.004975124378109453,VLMC
AMEX60DD054004,0.3465066,0.12342041303159942,0.014925373134328358,MSN
TRH | AMEX60DD023492,0.32728183,0.11178266320935028,0.004975124378109453,MSN
SNCA | AMEX60DD044083,0.3240415,0.09529946936338159,0.004975124378109453,MSN
LOC115460661[nr]|CARTPT[hs] | AMEX60DD003380,0.29579657,0.11422285116614511,0.029850746268656716,MSN
AMEX60DD000806,0.23718357,0.08084582844490175,0.07960199004975124,MSN
SLC1A3 | AMEX60DD041912,0.21652126,0.07760734845238082,0.024875621890547265,MSN
L1CAM | AMEX60DD025587,-0.119012594,0.05384708337091633,0.01990049751243781,MSN
EFNA5 | AMEX60DD042697,-0.12244794,0.041074339757042215,0.004975124378109453,MSN
AMEX60DD022072,-0.13648248,0.06373911780437695,0.024875621890547265,MSN
TAC1 | AMEX60DD022344,-0.31352127,0.17670514932536197,0.06467661691542288,MSN
LOC115080303[nr]|GAL[hs] | AMEX60DD016396,-0.3459766,0.15542219280665154,0.024875621890547265,MSN
CCK | AMEX60DD022038,-0.489271,0.1659079141070427,0.004975124378109453,MSN
NXPH1 | AMEX60DD022514,0.20845848,0.05900692562167327,0.08955223880597014,CMPN
FKBP1B | AMEX60DD033027,0.18789029,0.0695042911230692,0.21890547263681592,CMPN
TPD52L1 | AMEX60DD034735,0.18531907,0.04958964891227638,0.05970149253731343,CMPN
ANO5 | AMEX60DD004990,0.17722917,0.05951780391237495,0.06965174129353234,CMPN
SHISA6 | AMEX60DD030578,0.17522973,0.04067801375871329,0.004975124378109453,CMPN
DRD3 | AMEX60DD046985,0.17320359,0.0623545089446757,0.373134328358209,CMPN
RGS4 | AMEX60DD018749,-0.123847514,0.04553201761488129,0.009950248756218905,CMPN
NRP1 | AMEX60DD021789,-0.12582809,0.03850571985501709,0.004975124378109453,CMPN
LOC108797113[nr] | AMEX60DD053960,-0.13911635,0.03316990735658707,0.009950248756218905,CMPN
TAC1 | AMEX60DD022344,-0.14088914,0.14324628529454256,0.43781094527363185,CMPN
CNR1 | AMEX60DD033978,-0.14206156,0.03787843056993012,0.1791044776119403,CMPN
LOC115080303[nr]|GAL[hs] | AMEX60DD016396,-0.16505383,0.09820286067416159,0.14925373134328357,CMPN
AMEX60DD034076,0.44829255,0.11878440138577147,0.004975124378109453,mpEX
FKBP1B | AMEX60DD033027,0.33770657,0.09573039060726153,0.014925373134328358,mpEX
CCER2[nr]|CHGA[hs] | AMEX60DD024290,0.328709,0.07347616486208212,0.014925373134328358,mpEX
CBLN2 | AMEX60DD039277,0.31863678,0.14051624313095373,0.05472636815920398,mpEX
UCHL1[hs] | AMEX60DD045638,0.31817114,0.0739141107379016,0.004975124378109453,mpEX
ATP2B1[hs] | AMEX60DD006353,0.309489,0.07326142709145606,0.004975124378109453,mpEX
AMEX60DD021041,-0.07453585,0.08236779373831611,0.40298507462686567,mpEX
PNCK | AMEX60DD025557,-0.075179055,0.031112170332147405,0.009950248756218905,mpEX
GPNMB | AMEX60DD022087,-0.078087464,0.04516476955014608,0.1044776119402985,mpEX
MARCKS | AMEX60DDU001006823,-0.13261807,0.05486705064204879,0.024875621890547265,mpEX
FEZF2 | AMEX60DD023808,-0.16802643,0.07520540403078062,0.01990049751243781,mpEX
PENK | AMEX60DD039745,-0.2607072,0.12809594988788875,0.05472636815920398,mpEX
