gene,obs_lfc,null_sd,p_geomnull,interface
Spink1,0.15464411382499632,0.05077299690382094,0.004975124378109453,ExE endoderm
Emb,0.11190127395150229,0.028218382460482846,0.009950248756218905,ExE endoderm
Slc16a1,0.10070902779603563,0.021444158770854586,0.004975124378109453,ExE endoderm
H19,0.08916084160962034,0.02523066547612972,0.004975124378109453,ExE endoderm
Car4,0.08686526728581306,0.021524114841652536,0.004975124378109453,ExE endoderm
Ttr,0.07858369074343585,0.04603790481104328,0.208955223880597,ExE endoderm
Tpt1,-0.061129077354056593,0.016617256688340378,0.004975124378109453,ExE endoderm
S100a6,-0.06447263441526463,0.019735292049166103,0.07960199004975124,ExE endoderm
AY036118,-0.0869634188679358,0.018445860781011705,0.05472636815920398,ExE endoderm
Prl8a2,-0.09280322026127763,0.02014717762510272,0.014925373134328358,ExE endoderm
Cdk8,-0.12475379181557145,0.027275575502138355,0.014925373134328358,ExE endoderm
Ctla2a,-0.12516455004440408,0.02435307557743942,0.004975124378109453,ExE endoderm
Tmsb10,0.21718809387182447,0.01925860449795704,0.0945273631840796,Rostral neurectoderm
Rpl41,0.19961238358521927,0.01691864854681405,0.24875621890547264,Rostral neurectoderm
Ftl1,0.18319996130941485,0.017096298916529702,0.8507462686567164,Rostral neurectoderm
Prl3c1,0.17330202772109848,0.01323550371407261,0.24378109452736318,Rostral neurectoderm
Rps28,0.16562748596016652,0.01529821025551004,0.5572139303482587,Rostral neurectoderm
Rps19,0.1578414886173416,0.01786830482633545,0.9353233830845771,Rostral neurectoderm
Cmss1,-0.4153755465379618,0.02668293592547732,0.900497512437811,Rostral neurectoderm
Gm26561,-0.42264496273162133,0.025617807693601426,0.9900497512437811,Rostral neurectoderm
Lars2,-0.42532991337274195,0.023475412356593277,0.9950248756218906,Rostral neurectoderm
Cd44,-0.4440332521845092,0.026010694054718515,0.9402985074626866,Rostral neurectoderm
AY036118,-0.46475858932890857,0.012175365494052267,0.42786069651741293,Rostral neurectoderm
Cdk8,-0.4745744474413496,0.021362191372624642,0.8557213930348259,Rostral neurectoderm
Camk1d,0.25499841907409304,0.018580984307669475,0.8557213930348259,Paraxial mesoderm
Gm26561,0.19642277438552092,0.019790161270469158,0.3681592039800995,Paraxial mesoderm
Il31ra,0.19517923953343863,0.018512605273085993,0.4975124378109453,Paraxial mesoderm
Lars2,0.1922810315093959,0.018889982072444068,0.25870646766169153,Paraxial mesoderm
Cd44,0.18837667396345548,0.01967008031478269,0.14427860696517414,Paraxial mesoderm
Meox1,0.17617454968045965,0.010239953631252838,0.05970149253731343,Paraxial mesoderm
Ldha,-0.13032644431845375,0.02047896872124979,0.13930348258706468,Paraxial mesoderm
Gpx3,-0.13794115111167216,0.015649213230990992,0.21393034825870647,Paraxial mesoderm
Nnat,-0.1422367710990705,0.015627848780082238,0.009950248756218905,Paraxial mesoderm
A2m,-0.16253149848236248,0.01813995613720994,0.06965174129353234,Paraxial mesoderm
Mt1,-0.16830804490546702,0.014746794681798278,0.004975124378109453,Paraxial mesoderm
Ctla2a,-0.2703092914647418,0.01759751078295948,0.004975124378109453,Paraxial mesoderm
Emb,0.19165421948227823,0.04726132361065521,0.004975124378109453,Gut
Slc2a3,0.13222634681416479,0.03649101767550852,0.009950248756218905,Gut
Slc16a1,0.12155886079766937,0.029377982489849783,0.004975124378109453,Gut
Spink1,0.1037860971723521,0.055672766432870384,0.0845771144278607,Gut
Ldha,0.0968469679945071,0.02875342557918838,0.014925373134328358,Gut
Igfbp5,0.07926894653543158,0.02051111093797033,0.004975124378109453,Gut
Npm1,-0.09543476321400823,0.03353872322783326,0.009950248756218905,Gut
Nepn,-0.10084565015486878,0.02111549935536479,0.004975124378109453,Gut
Cd44,-0.10152343316726198,0.029573670614530017,0.3880597014925373,Gut
Hspa8,-0.10328691684091273,0.02966194163751768,0.004975124378109453,Gut
Gm26561,-0.10472435569758365,0.029026702212358747,0.39800995024875624,Gut
Lars2,-0.11902513287493655,0.029402253059306528,0.18407960199004975,Gut
