gene,obs_lfc,null_sd,p_geomnull,interface
Fabp7,0.06449588,0.047791434936673365,0.5124378109452736,Cavity
Afp,0.042384207,0.04496770704007181,0.4427860696517413,Cavity
Ptma,0.040265918,0.03063782818050967,0.23383084577114427,Cavity
Alb,0.039840102,0.04450314555956176,0.6368159203980099,Cavity
Col2a1,0.038867965,0.015180990726150716,0.03482587064676617,Cavity
Rpl39,0.038784266,0.02454161136285654,0.23383084577114427,Cavity
H19,-0.17303681,0.028170465774014126,0.05472636815920398,Cavity
Hbb-bt,-0.19030476,0.059657595208206855,0.4527363184079602,Cavity
Hbb-bs,-0.19128275,0.06419499903752744,0.39303482587064675,Cavity
Trim30a,-0.19203115,0.020231689293224955,0.4626865671641791,Cavity
Hba-a2,-0.22340894,0.06773050321061568,0.18407960199004975,Cavity
Hba-a1,-0.23275542,0.06970124364571748,0.1890547263681592,Cavity
Col3a1,0.23694897,0.03536661529098141,0.03482587064676617,Connective tissue
Col1a2,0.22481203,0.02819237252753027,0.009950248756218905,Connective tissue
Postn,0.22101933,0.023636288431851248,0.004975124378109453,Connective tissue
Tpt1,0.21514618,0.022649830138728975,0.009950248756218905,Connective tissue
Tlcd1,0.20659316,0.017478089567853163,0.0845771144278607,Connective tissue
Mest,0.20633268,0.029595609666295253,0.03482587064676617,Connective tissue
Fgfr2,-0.13070095,0.011174923554765221,0.13930348258706468,Connective tissue
Hdac9,-0.14207602,0.003909490877065508,0.014925373134328358,Connective tissue
Trim30a,-0.1583674,0.008829506921176062,0.004975124378109453,Connective tissue
Nkain2,-0.1727947,0.00603481087699899,0.009950248756218905,Connective tissue
Afm,-0.18037492,0.005348865723326804,0.004975124378109453,Connective tissue
Prkch,-0.21174085,0.0052419109262809346,0.004975124378109453,Connective tissue
mt-Nd1,0.1827929,0.010441198902435599,0.7064676616915423,Muscle
mt-Nd6,0.18088657,0.006806328588398582,0.7263681592039801,Muscle
mt-Cytb,0.15695786,0.010529636578550303,0.9402985074626866,Muscle
mt-Nd2,0.14643961,0.007344032470661915,0.8557213930348259,Muscle
mt-Nd4,0.13650227,0.009094543731877328,0.9253731343283582,Muscle
Ptma,0.12210786,0.013061627531207596,0.06467661691542288,Muscle
Hbb-bs,-0.24056554,0.024120215315910173,0.004975124378109453,Muscle
Hbb-bt,-0.24364734,0.025435187099812323,0.004975124378109453,Muscle
Trim30a,-0.24976516,0.007083803814229918,0.004975124378109453,Muscle
Tlk1,-0.26010013,0.004792716927580331,0.004975124378109453,Muscle
Hdac9,-0.26553798,0.0037968096115922924,0.07462686567164178,Muscle
Prkch,-0.37562978,0.004920122652464652,0.01990049751243781,Muscle
Stmn1,0.5803102,0.013037908963259102,0.746268656716418,Brain
Tmsb10,0.5574846,0.028260269814047435,0.9950248756218906,Brain
Ptma,0.5172186,0.0216734528775328,0.014925373134328358,Brain
mt-Nd2,0.4927954,0.017279382432172776,0.9900497512437811,Brain
Tlcd1,0.48911643,0.009050258669712468,0.024875621890547265,Brain
mt-Nd1,0.48164952,0.017943542209788402,0.9850746268656716,Brain
Hbb-bt,-0.13265967,0.010844265563058947,0.014925373134328358,Brain
Afm,-0.13622588,0.0031413356525749787,0.6169154228855721,Brain
Nkain2,-0.19091564,0.0033586810256967027,0.6517412935323383,Brain
Camk1d,-0.224293,0.01741250608115068,0.4925373134328358,Brain
Hdac9,-0.29681373,0.0024417989573624,0.07462686567164178,Brain
Prkch,-0.44159,0.0032867990632000537,0.1890547263681592,Brain
