interface,gene,obs_lfc,null_sd,p_geomnull
l3,SMESG000017804.1,0.7526512,1.1056761325972562,0.5572139303482587
l3,SMESG000027140.1,0.40368748,0.717822721516672,0.6666666666666666
l3,SMESG000003087.1,0.36614037,0.7242921162679559,0.7313432835820896
l3,SMESG000049723.1,0.26610327,0.83209700428779,0.8706467661691543
l3,SMESG000017801.1,0.23901701,0.3431757441287434,0.5472636815920398
l3,SMESG000002883.1,0.15082484,0.2521531113414495,0.6567164179104478
l3,SMESG000002628.1,-2.1917982,0.6919286065388477,0.004975124378109453
l3,SMESG000007315.1,-2.2667663,1.0245652841618156,0.004975124378109453
l3,SMESG000055421.1,-2.8215175,0.9841761403912184,0.004975124378109453
l3,SMESG000019619.1,-3.4396286,1.5568514038416679,0.004975124378109453
l3,SMESG000040632.1,-3.692149,1.3955217338190333,0.004975124378109453
l3,SMESG000051672.1,-5.287633,3.444121387588134,0.1691542288557214
l5,SMESG000066595.1,-0.023551926,0.05263592142573238,0.7761194029850746
l5,SMESG000035325.1,-0.029864661,0.056798242937425296,0.7512437810945274
l5,SMESG000067668.1,-0.035947114,0.10772302005079691,0.8059701492537313
l5,SMESG000016305.1,-0.036679775,0.06883814903661699,0.736318407960199
l5,SMESG000035332.1,-0.03978779,0.057348972034471785,0.5970149253731343
l5,SMESG000047827.1,-0.040368356,0.07805492852311291,0.7014925373134329
l5,SMESG000016791.1,-4.6122675,2.1438131806225535,0.004975124378109453
l5,SMESG000055421.1,-4.871042,2.254083005133649,0.004975124378109453
l5,SMESG000062943.1,-5.09922,2.7989914517176566,0.1044776119402985
l5,SMESG000058307.1,-5.1821165,1.7110298351191306,0.004975124378109453
l5,SMESG000019619.1,-5.3451786,3.1240673237639154,0.1044776119402985
l5,SMESG000051672.1,-6.219725,3.8200329934567847,0.14925373134328357
l4,SMESG000056439.1,-0.07360945,0.011314819724567228,0.004975124378109453
l4,SMESG000072794.1,-0.07841514,0.01191334176473405,0.004975124378109453
l4,SMESG000016663.1,-0.07851158,0.006134945992653301,0.004975124378109453
l4,SMESG000028263.1,-0.08200219,0.007084944753876255,0.004975124378109453
l4,SMESG000065409.1,-0.08231844,0.006962020982659249,0.004975124378109453
l4,SMESG000001159.1,-0.08778585,0.012004319188214149,0.004975124378109453
l4,SMESG000025889.1,-5.569088,0.41662380844826485,0.004975124378109453
l4,SMESG000055421.1,-6.803689,0.36099954553614777,0.004975124378109453
l4,SMESG000040632.1,-6.9181314,0.4086085533756027,0.004975124378109453
l4,SMESG000067658.1,-7.324687,1.09838498322613,0.004975124378109453
l4,SMESG000019619.1,-10.269342,0.7048606482871759,0.004975124378109453
l4,SMESG000051672.1,-22.07401,1.4634380899495392,0.004975124378109453
not_anno,SMESG000074187.1,1.4358854,0.853393815730268,0.004975124378109453
not_anno,SMESG000051672.1,1.1050682,5.078885593533884,0.9203980099502488
not_anno,SMESG000042349.1,0.9938443,0.8812389665298197,0.31343283582089554
not_anno,SMESG000049723.1,0.95000005,1.69840802399335,0.6865671641791045
not_anno,SMESG000017804.1,0.8124993,1.5598273531956321,0.7064676616915423
not_anno,SMESG000031788.1,0.73527515,0.9414584639081087,0.6318407960199005
not_anno,SMESG000067658.1,-0.67246795,1.3641623719627496,0.7711442786069652
not_anno,SMESG000043289.1,-0.72432816,0.6040335221323846,0.373134328358209
not_anno,SMESG000055421.1,-0.7318568,0.872951941585966,0.5621890547263682
not_anno,SMESG000002628.1,-0.77287865,0.7863988118610823,0.48756218905472637
not_anno,SMESG000066027.1,-0.79595995,1.2445128841888278,0.6716417910447762
not_anno,SMESG000007315.1,-1.0973978,1.8079572926315002,0.6766169154228856
