side,source,term_id,term_name,p_value,intersection_size
bulge,GO:CC,GO:0005615,extracellular space,3.0944443868970898e-18,47
bulge,GO:BP,GO:0007155,cell adhesion,2.625777065996463e-15,33
bulge,GO:CC,GO:0005576,extracellular region,3.973905571488747e-15,49
bulge,GO:BP,GO:0009888,tissue development,1.99520069206458e-13,35
bulge,GO:CC,GO:0070062,extracellular exosome,4.277521513457519e-12,33
bulge,GO:CC,GO:1903561,extracellular vesicle,6.4176279562079804e-12,33
bulge,GO:CC,GO:0043230,extracellular organelle,6.504246394234289e-12,33
bulge,GO:CC,GO:0065010,extracellular membrane-bounded organelle,6.504246394234289e-12,33
bulge,GO:CC,GO:0070161,anchoring junction,8.361348943494361e-12,23
bulge,GO:BP,GO:0016477,cell migration,1.699783701289302e-09,27
bulge,GO:BP,GO:0009611,response to wounding,1.966022900898383e-09,18
bulge,GO:BP,GO:0042060,wound healing,4.931444301525359e-09,16
bulge,GO:CC,GO:0031982,vesicle,6.115305741977082e-09,40
bulge,GO:CC,GO:0071944,cell periphery,6.6373767974922865e-09,50
bulge,GO:CC,GO:0005911,cell-cell junction,7.3383211541966925e-09,16
bulge,KEGG,KEGG:04510,Focal adhesion,7.440695407872349e-09,14
bulge,GO:BP,GO:0048870,cell motility,1.0492879303484619e-08,28
bulge,KEGG,KEGG:04382,Cornified envelope formation,1.712309731478078e-08,14
bulge,GO:MF,GO:0050839,cell adhesion molecule binding,2.133405126399445e-08,17
bulge,GO:BP,GO:0031589,cell-substrate adhesion,3.725005767552431e-08,14
bulge,KEGG,KEGG:04518,Integrin signaling,5.030517108610446e-08,12
bulge,GO:BP,GO:0007160,cell-matrix adhesion,6.471549703032191e-08,12
bulge,REAC,REAC:R-HSA-1474244,Extracellular matrix organization,7.171764229284644e-08,15
bulge,KEGG,KEGG:05205,Proteoglycans in cancer,1.0832901195631865e-07,13
bulge,GO:BP,GO:0034330,cell junction organization,1.0973432278768998e-07,19
bulge,GO:BP,GO:0030334,regulation of cell migration,1.2611257781846482e-07,20
bulge,GO:BP,GO:0048856,anatomical structure development,2.451533132021569e-07,48
bulge,GO:BP,GO:2000145,regulation of cell motility,3.811905499130398e-07,20
bulge,GO:CC,GO:0005604,basement membrane,4.6413724375199366e-07,8
bulge,GO:BP,GO:0012501,programmed cell death,4.870621761189558e-07,27
bulge,GO:BP,GO:0034329,cell junction assembly,5.022721763154036e-07,15
bulge,GO:BP,GO:0008219,cell death,5.09903378728167e-07,27
bulge,GO:BP,GO:0040012,regulation of locomotion,7.679416195213315e-07,20
bulge,REAC,REAC:R-HSA-3000171,Non-integrin membrane-ECM interactions,8.256511581559128e-07,8
bulge,KEGG,KEGG:04512,ECM-receptor interaction,8.626396556479677e-07,9
bulge,REAC,REAC:R-HSA-2022090,Assembly of collagen fibrils and other multimeric structures,9.482239065319292e-07,8
bulge,GO:BP,GO:0030335,positive regulation of cell migration,1.2544911468408882e-06,15
bulge,REAC,REAC:R-HSA-446107,Type I hemidesmosome assembly,1.327331139569461e-06,5
bulge,GO:BP,GO:0060429,epithelium development,2.1019285522759095e-06,21
bulge,GO:BP,GO:0040011,locomotion,2.1640185043051417e-06,21
bulge,GO:BP,GO:2000147,positive regulation of cell motility,2.4320150403833465e-06,15
bulge,GO:BP,GO:0007044,cell-substrate junction assembly,2.5094088650597314e-06,8
bulge,GO:BP,GO:0040017,positive regulation of locomotion,3.46039875804508e-06,15
bulge,GO:BP,GO:0002009,morphogenesis of an epithelium,4.1927640890742666e-06,14
bulge,REAC,REAC:R-HSA-3000170,Syndecan interactions,4.375687690866967e-06,6
bulge,GO:BP,GO:0150115,cell-substrate junction organization,4.494811712810042e-06,8
bulge,GO:BP,GO:0048513,animal organ development,4.524491350706128e-06,32
bulge,GO:BP,GO:0006950,response to stress,4.8758089042107715e-06,37
bulge,GO:BP,GO:0048522,positive regulation of cellular process,5.336158220852757e-06,45
bulge,KEGG,KEGG:04820,Cytoskeleton in muscle cells,5.503613178453746e-06,12
bulge,KEGG,KEGG:04066,HIF-1 signaling pathway,5.6123808072560955e-06,9
bulge,GO:CC,GO:0031012,extracellular matrix,6.985930232092955e-06,11
bulge,GO:CC,GO:0030312,external encapsulating structure,7.199641176534928e-06,11
bulge,GO:BP,GO:0010810,regulation of cell-substrate adhesion,7.2653507324475726e-06,10
bulge,GO:BP,GO:0032502,developmental process,8.092496278808338e-06,48
bulge,REAC,REAC:R-HSA-8874081,MET activates PTK2 signaling,8.655386353701304e-06,6
bulge,GO:CC,GO:0030055,cell-substrate junction,9.19904417809106e-06,12
bulge,GO:BP,GO:0098609,cell-cell adhesion,1.005749007394305e-05,18
bulge,GO:BP,GO:0048518,positive regulation of biological process,1.4554247339328479e-05,46
bulge,GO:BP,GO:0001952,regulation of cell-matrix adhesion,1.917264343217045e-05,8
bulge,REAC,REAC:R-HSA-1474290,Collagen formation,2.2849331571734598e-05,8
bulge,GO:MF,GO:0045296,cadherin binding,3.623291115075706e-05,11
bulge,GO:BP,GO:0006915,apoptotic process,3.69373653532919e-05,24
bulge,GO:BP,GO:0050896,response to stimulus,4.96937348776908e-05,56
bulge,GO:BP,GO:0048729,tissue morphogenesis,5.25352529636826e-05,14
bulge,GO:BP,GO:0009605,response to external stimulus,5.3031940642316664e-05,27
bulge,REAC,REAC:R-HSA-8875878,MET promotes cell motility,5.3402800679849924e-05,6
bulge,REAC,REAC:R-HSA-1474228,Degradation of the extracellular matrix,5.898411635443142e-05,9
bulge,GO:CC,GO:0030054,cell junction,6.0088593837845784e-05,25
bulge,GO:CC,GO:0005737,cytoplasm,6.285507840300209e-05,65
bulge,GO:CC,GO:0005925,focal adhesion,6.852653078377852e-05,11
bulge,REAC,REAC:R-HSA-1500931,Cell-Cell communication,0.00010662293556087264,9
bulge,GO:BP,GO:0009653,anatomical structure morphogenesis,0.00011926833323349811,28
bulge,GO:BP,GO:0007275,multicellular organism development,0.00012529385210854373,38
bulge,REAC,REAC:R-HSA-109582,Hemostasis,0.00012675589274445176,17
bulge,GO:BP,GO:0045216,cell-cell junction organization,0.00013268234693319605,9
bulge,GO:BP,GO:0030155,regulation of cell adhesion,0.00015494954366319572,15
bulge,REAC,REAC:R-HSA-446728,Cell junction organization,0.00015836687259475932,8
bulge,GO:CC,GO:0005886,plasma membrane,0.00018373621805687135,41
bulge,GO:BP,GO:0043067,regulation of programmed cell death,0.0002320315614850458,20
bulge,GO:BP,GO:0048646,anatomical structure formation involved in morphogenesis,0.0002464068455304616,18
bulge,GO:BP,GO:0044419,biological process involved in interspecies interaction between organisms,0.0002509189440597514,22
bulge,REAC,REAC:R-HSA-216083,Integrin cell surface interactions,0.00027955536786864756,7
bulge,GO:BP,GO:0035633,maintenance of blood-brain barrier,0.0003511361392180833,5
bulge,GO:BP,GO:0030154,cell differentiation,0.0003739578286795948,36
bulge,REAC,REAC:R-HSA-3000157,Laminin interactions,0.00037510983024449863,5
bulge,GO:BP,GO:0048869,cellular developmental process,0.00037616266720613304,36
bulge,GO:BP,GO:0007565,female pregnancy,0.0003780140121705348,8
bulge,GO:CC,GO:0045177,apical part of cell,0.0004115512598840973,11
bulge,GO:BP,GO:0032501,multicellular organismal process,0.0004844295521866181,48
bulge,GO:CC,GO:0098636,protein complex involved in cell adhesion,0.0004954542237870198,5
bulge,GO:BP,GO:0042221,response to chemical,0.0005009606143286193,33
bulge,GO:BP,GO:0090505,epiboly involved in wound healing,0.0005256512817684698,5
bulge,GO:BP,GO:0044319,"wound healing, spreading of cells",0.0005256512817684698,5
bulge,GO:MF,GO:0044877,protein-containing complex binding,0.0005520915014040408,18
