annotation,bulge,dent,mid,bulge_minus_dent
Tumor,0.1668700704930873,0.04026160937129948,0.06968437932793936,0.1266084611217878
CAF,0.047596495382429556,0.022644878031006906,0.04125665135942853,0.02495161735142265
CAM,0.009435508843512632,0.0010019857535843763,0.002897441504482834,0.008433523089928256
High_Endothelial_Venules,0.07233282937758428,0.06552986828441822,0.0699394999635542,0.006802961093166068
Tumor_Keratin_Pearl,0.008506530173591504,0.0034978411761490955,0.004646840148698885,0.005008688997442409
Cytotoxic_IFN_signaling,0.000528242773092406,0.0005465376837732962,0.0006924702966688534,-1.8294910680890153e-05
Cortex_CCL21,0.0005646733091677444,0.0009108961396221603,0.0008746993221080254,-0.00034622283045441593
Macrophages,0.0012022076904861655,0.0017489205880745478,0.0016765070340403819,-0.0005467128975883823
M1_macrophages,0.15120493998069182,0.1531945127616549,0.1471863838472192,-0.0019895727809630948
Plasma_IgG,0.1887830379424033,0.19715436045982038,0.1957504191267585,-0.008371322517417068
Plasma_IgA,0.025082424087870453,0.033684939243227484,0.030414024345797798,-0.008602515155357031
Fibroblasts,0.029690886901400756,0.041044980051374545,0.028172607332895984,-0.01135409314997379
Germinal_Center_Plasma_IgM_B_cell,0.10133153609355362,0.12685139640378204,0.13689044390990596,-0.025519860310228418
T_cell,0.06284267472995865,0.10493523528447286,0.08808951089729572,-0.04209256055451421
unknown,0.1340279422211698,0.2069920387677397,0.18182812158320577,-0.0729640965465699
