gene,mean_bulge,mean_dent,lfc
PTHLH,1.030711,0.80084085,0.2298702
KRT17,0.74740094,0.59233665,0.15506428
SLC2A1,0.44202283,0.30439883,0.137624
FTH1,1.422321,1.2858529,0.13646805
AMTN,0.88595057,0.76421845,0.121732116
EGLN3,0.28915453,0.19304612,0.09610841
TGFBI,0.59131294,0.51015294,0.08116001
NDUFA4L2,0.19758464,0.116791055,0.08079359
MT2A,0.55829936,0.49026948,0.06802988
SFN,0.83531106,0.7691869,0.06612414
ACTB,1.522035,1.4568383,0.06519675
LAMC2,0.4740112,0.40938193,0.06462929
SERPINE1,0.17785563,0.11762602,0.060229607
GAPDH,0.36063787,0.3033325,0.057305366
FSCN1,0.29734427,0.24019106,0.05715321
HSPA2,0.43348536,0.37947562,0.054009736
KRT14,0.5683984,0.51895773,0.049440682
ITGA6,0.2512845,0.20449786,0.04678665
S100A10,0.45041892,0.40389064,0.04652828
LGALS1,0.43021792,0.38415042,0.046067506
TIMP3,0.13914551,0.09451793,0.044627577
SDC1,0.33797088,0.29511943,0.042851448
LDHA,0.35969794,0.31732947,0.04236847
TMSB10,0.52774304,0.48583657,0.041906476
KRT16,0.2485613,0.2086892,0.039872095
H3-3B,0.56224895,0.5232899,0.038959026
ERO1A,0.12379594,0.08665191,0.037144035
IGFL1,0.13570012,0.09870916,0.036990963
S100A2,1.2533454,1.2165899,0.036755443
ATP1B1,0.23664938,0.20046863,0.03618075
GJB6,0.105262116,0.069601834,0.03566028
JUN,0.20349215,0.16852596,0.034966186
COL17A1,0.17591058,0.14125004,0.034660533
GJB2,0.12364214,0.089019544,0.034622595
ACTG1,0.63533145,0.60129064,0.03404081
SPP1,0.14345722,0.10949663,0.03396059
TKTL1,0.23388809,0.20060857,0.033279523
PPFIBP1,0.26576728,0.23345584,0.03231144
S100A6,0.5571539,0.5249574,0.032196462
SLC38A2,0.42705116,0.39486247,0.032188684
TAGLN2,0.58889896,0.556879,0.032019973
PERP,0.59507364,0.563601,0.031472623
COL7A1,0.15119539,0.11973207,0.031463325
DSG3,0.23382504,0.20393543,0.029889613
EGFR,0.15443222,0.12505771,0.02937451
IVNS1ABP,0.18587527,0.15681095,0.029064313
VMP1,0.37918124,0.35019657,0.028984666
ENO1,0.295332,0.26673928,0.028592736
CA12,0.108439535,0.080147415,0.02829212
PDPN,0.20557913,0.17816585,0.027413279
