gene,hull_lfc,hull_p,disp_lfc,disp_p,agree
PTHLH,0.2298702,0.004975124378109453,0.14228165,0.004975124378109453,○
KRT17,0.15506428,0.004975124378109453,0.08771515,0.004975124378109453,○
SLC2A1,0.137624,0.004975124378109453,0.061633766,0.05970149253731343,×
FTH1,0.13646805,0.004975124378109453,0.059157133,0.11940298507462686,×
EGLN3,0.09610841,0.004975124378109453,0.03869717,0.024875621890547265,○
NDUFA4L2,0.08079359,0.004975124378109453,0.016911909,0.35323383084577115,×
TGFBI,0.08116001,0.004975124378109453,-0.03790909,0.14925373134328357,×
IGKC,-0.28032207,0.004975124378109453,-0.050201416,0.4427860696517413,×
IGHG3,-0.12582812,0.004975124378109453,-0.095621526,0.004975124378109453,○
DHCR7,-0.117787495,0.004975124378109453,0.013615161,0.5323383084577115,×
