gene,version,obs_lfc,null_sd,p_geomnull
PTHLH,within_tumor,0.2298702,0.022753688388264953,0.004975124378109453
KRT17,within_tumor,0.15506428,0.013055829879575537,0.004975124378109453
SLC2A1,within_tumor,0.137624,0.012663301374935586,0.004975124378109453
FTH1,within_tumor,0.13646805,0.01226700018697221,0.004975124378109453
EGLN3,within_tumor,0.09610841,0.006893950484088027,0.004975124378109453
NDUFA4L2,within_tumor,0.08079359,0.003921174781890087,0.004975124378109453
TGFBI,within_tumor,0.08116001,0.009704797469473614,0.004975124378109453
IGKC,within_tumor,-0.28032207,0.021572785413650927,0.004975124378109453
IGHG3,within_tumor,-0.12582812,0.01626430762709024,0.004975124378109453
DHCR7,within_tumor,-0.117787495,0.0063179478922296885,0.004975124378109453
FABP5,region_composition,0.20938453,0.02902223437607859,0.004975124378109453
KRT6A,region_composition,0.20072171,0.028333696725830852,0.004975124378109453
S100A2,region_composition,0.18446106,0.029841617234790223,0.004975124378109453
PTHLH,region_composition,0.14245194,0.019094251527324826,0.004975124378109453
COL1A1,region_composition,0.13961816,0.03845352636149945,0.004975124378109453
RPS29,region_composition,-0.30476415,0.04610871578740565,0.004975124378109453
TPT1,region_composition,-0.28439426,0.040166207214585366,0.004975124378109453
RPL34,region_composition,-0.25692177,0.041510355758335844,0.004975124378109453
IGKC,region_composition,-0.13404536,0.04002032303564312,0.3781094527363184
