gene,mean_bulge,mean_dent,lfc,p_geomnull,null_sd,interface
Fabp7,0.29873434,0.23423806,0.06449628,0.5124378109452736,0.047791434936673365,Cavity
Afp,0.7079449,0.6655684,0.04237652,0.4427860696517413,0.04496770704007181,Cavity
Ptma,0.9895205,0.9492464,0.040274084,0.23383084577114427,0.03063782818050967,Cavity
Alb,0.82544684,0.7855978,0.039849043,0.6368159203980099,0.04450314555956176,Cavity
Col2a1,0.26868936,0.22982006,0.038869306,0.03482587064676617,0.015180990726150716,Cavity
Rpl39,1.584534,1.5457587,0.038775325,0.23383084577114427,0.02454161136285654,Cavity
Nudcd3,0.97817445,0.9409504,0.037224054,,,Cavity
Stmn1,0.6424911,0.6081909,0.034300208,,,Cavity
Rimklb,0.82291496,0.7886977,0.03421724,,,Cavity
Nup210l,0.5819393,0.55091053,0.031028748,,,Cavity
Gm26825,0.88836503,0.8592444,0.029120624,,,Cavity
Apoa2,0.29219177,0.266146,0.02604577,,,Cavity
Tcf7l2,0.17359054,0.14793408,0.025656462,,,Cavity
Ndufc2,0.6408804,0.61669433,0.024186075,,,Cavity
Trf,0.332389,0.30846068,0.023928314,,,Cavity
Gm10282,0.29600412,0.2725682,0.02343592,,,Cavity
Nos1ap,0.3031996,0.2804914,0.022708178,,,Cavity
Rps21,1.5055364,1.482867,0.022669435,,,Cavity
Tlcd1,1.0778973,1.0553765,0.02252078,,,Cavity
Rpl7,1.3076358,1.2855842,0.022051573,,,Cavity
Krt1,0.29873252,0.27707186,0.021660656,,,Cavity
Rpl22l1,0.7098236,0.6890784,0.020745218,,,Cavity
Setd1b,0.19211793,0.17137468,0.02074325,,,Cavity
Rpl35a,1.0914005,1.0707996,0.020600915,,,Cavity
Cpe,0.17720437,0.15713784,0.02006653,,,Cavity
Ctnnb1,0.4651969,0.4451329,0.020063996,,,Cavity
Prdx2,0.7963888,0.77647585,0.019912958,,,Cavity
Phykpl,0.457092,0.43725693,0.019835055,,,Cavity
Dbi,0.61162245,0.59204495,0.019577503,,,Cavity
Tmcc1,0.38307562,0.3643766,0.01869902,,,Cavity
Mt1,0.7099505,0.6913174,0.018633127,,,Cavity
Med26,0.25693625,0.23865125,0.018285006,,,Cavity
Rpl9-ps6,1.0597942,1.0416403,0.018153906,,,Cavity
Apom,0.102676995,0.084850244,0.01782675,,,Cavity
Krt10,0.44200307,0.42430085,0.017702222,,,Cavity
Sub1,0.44629353,0.42873636,0.017557174,,,Cavity
Sox9,0.07189124,0.054515447,0.017375793,,,Cavity
Hnrnpa2b1,0.6495635,0.6324044,0.017159104,,,Cavity
Ahsg,0.1144604,0.09732183,0.01713857,,,Cavity
Wdr89,1.1421129,1.1250514,0.017061472,,,Cavity
Ly6d,0.08798864,0.07111959,0.016869046,,,Cavity
Cfap53,0.16955936,0.15273821,0.016821146,,,Cavity
Rpl27-ps3,0.6330987,0.61654097,0.016557753,,,Cavity
