interface,gene,mean_bulge,mean_dent,lfc,p_geomnull,null_sd
l3,SMESG000017804.1,4.16811,3.4156222,0.75248766,0.5572139303482587,1.1056761325972562
l3,SMESG000027140.1,2.8349752,2.4314127,0.40356255,0.6666666666666666,0.717822721516672
l3,SMESG000003087.1,2.7177885,2.351771,0.36601734,0.7313432835820896,0.7242921162679559
l3,SMESG000049723.1,3.2589784,2.9930105,0.26596785,0.8706467661691543,0.83209700428779
l3,SMESG000017801.1,1.2910258,1.0520736,0.23895216,0.5472636815920398,0.3431757441287434
l3,SMESG000002883.1,0.9568296,0.806038,0.15079159,0.6567164179104478,0.2521531113414495
l3,SMESG000014167.1,0.6720348,0.5340485,0.1379863,,
l3,SMESG000032522.1,0.54009813,0.45857963,0.0815185,,
l3,SMESG000049924.1,0.5729013,0.5009609,0.07194042,,
l3,SMESG000066414.1,0.79515415,0.7250426,0.07011157,,
l3,SMESG000037978.1,0.6042048,0.54230034,0.06190443,,
l3,SMESG000050216.1,0.69732684,0.64052093,0.05680591,,
l3,SMESG000078545.1,0.4423302,0.3956893,0.046640903,,
l3,SMESG000053020.1,0.2756717,0.22993053,0.045741156,,
l3,SMESG000014166.1,0.16927163,0.13146949,0.037802145,,
l3,SMESG000021912.1,0.2676983,0.2348177,0.03288059,,
l3,SMESG000022839.1,0.37083045,0.34121034,0.029620111,,
l3,SMESG000019926.1,0.11345727,0.08492244,0.02853483,,
l3,SMESG000025410.1,0.12763965,0.102067195,0.025572456,,
l3,SMESG000019984.1,0.44141558,0.4164393,0.024976283,,
l3,SMESG000027142.1,0.11260772,0.0882072,0.024400517,,
l3,SMESG000053011.1,0.08051802,0.057843376,0.022674646,,
l3,SMESG000017013.1,0.26926666,0.24795651,0.02131015,,
l3,SMESG000058074.1,0.17247392,0.15294021,0.019533709,,
l3,SMESG000031795.1,0.19770133,0.1788976,0.01880373,,
l3,SMESG000035061.1,0.15868367,0.14012182,0.018561855,,
l3,SMESG000045673.1,0.10162807,0.08356049,0.018067583,,
l3,SMESG000007145.1,0.14587408,0.12802461,0.017849475,,
l3,SMESG000073666.1,0.23776503,0.22119816,0.016566873,,
l3,SMESG000020955.1,0.18528362,0.17008479,0.015198827,,
l3,SMESG000027124.1,0.08058339,0.065935045,0.014648348,,
l3,SMESG000020470.1,0.083459064,0.07018116,0.013277903,,
l3,SMESG000031796.1,0.40566474,0.3924044,0.013260335,,
l3,SMESG000056430.1,0.15306333,0.14084293,0.012220398,,
l3,SMESG000008043.1,0.20266862,0.19195607,0.010712549,,
l3,SMESG000066416.1,0.12587506,0.115366414,0.010508642,,
l3,SMESG000066413.1,0.087445825,0.07755182,0.009894006,,
l3,SMESG000002840.1,0.10273911,0.093735196,0.009003915,,
l3,SMESG000070985.1,0.14593942,0.13707756,0.00886187,,
l3,SMESG000073667.1,0.77927446,0.77070886,0.008565605,,
l3,SMESG000036036.1,0.13214919,0.1244996,0.007649593,,
l3,SMESG000053202.1,0.15633094,0.14973566,0.0065952837,,
l3,SMESG000030981.1,0.19861649,0.19411922,0.0044972748,,
l3,SMESG000001797.1,0.12842394,0.12626222,0.0021617264,,
l3,SMESG000079004.1,0.14607021,0.14492883,0.0011413842,,
l3,SMESG000020952.1,0.10215089,0.10110588,0.0010450035,,
l3,SMESG000005324.1,0.12195362,0.12201601,-6.239116e-05,,
l3,SMESG000016088.1,0.14855368,0.15021636,-0.0016626716,,
l3,SMESG000073691.1,0.16018714,0.16191317,-0.0017260313,,
l3,SMESG000039746.1,0.13848878,0.14076275,-0.002273962,,
l3,SMESG000020910.1,0.09470018,0.09734042,-0.00264024,,
l3,SMESG000066595.1,0.103261895,0.106233224,-0.0029713288,,
l3,SMESG000061639.1,0.08816469,0.09253355,-0.004368864,,
l3,SMESG000014240.1,0.097772054,0.10246777,-0.0046957135,,
l3,SMESG000035333.1,0.07267542,0.07763199,-0.004956566,,
l3,SMESG000013910.1,0.12012376,0.12578142,-0.005657658,,
l3,SMESG000003701.1,0.16345489,0.16936377,-0.0059088767,,
l3,SMESG000034030.1,0.08509288,0.09157215,-0.0064792708,,
l3,SMESG000067728.1,0.06868863,0.07651041,-0.007821776,,
l3,SMESG000004912.1,0.23449698,0.24242859,-0.007931605,,
l3,SMESG000000989.1,0.066008955,0.07426711,-0.0082581565,,
l3,SMESG000028261.1,0.19345345,0.20269144,-0.00923799,,
l3,SMESG000002838.1,0.08855678,0.0978212,-0.009264417,,
l3,SMESG000035316.1,0.24005225,0.24963896,-0.009586707,,
l3,SMESG000017203.1,0.38592765,0.3955292,-0.009601563,,
l3,SMESG000000219.1,0.10652964,0.11624782,-0.00971818,,
l3,SMESG000068025.1,0.07770769,0.087646395,-0.009938702,,
l3,SMESG000042389.1,0.13515557,0.14556953,-0.01041396,,
l3,SMESG000024603.1,0.124829225,0.13571559,-0.010886364,,
l3,SMESG000052600.1,0.057512775,0.06857893,-0.011066154,,
l3,SMESG000045477.1,0.070191726,0.08211845,-0.0119267255,,
l3,SMESG000005010.1,0.064898014,0.07835308,-0.013455063,,
l3,SMESG000033382.1,0.07679273,0.090530634,-0.013737902,,
l3,SMESG000035327.1,0.3607003,0.37445885,-0.01375854,,
l3,SMESG000063568.1,0.12371833,0.13763846,-0.013920136,,
l3,SMESG000040291.1,0.19554475,0.2096615,-0.014116749,,
l3,SMESG000076166.1,0.09809875,0.11264246,-0.014543712,,
l3,SMESG000038005.1,0.22077233,0.23545864,-0.014686316,,
l3,SMESG000013795.1,0.07561633,0.09093129,-0.015314959,,
l3,SMESG000008042.1,0.09424276,0.11031926,-0.016076498,,
l3,SMESG000013697.1,0.06496337,0.08139748,-0.01643411,,
l3,SMESG000071344.1,0.35011256,0.36716866,-0.017056108,,
l3,SMESG000064135.1,0.07973384,0.096939914,-0.017206073,,
l3,SMESG000036870.1,0.11208508,0.12930673,-0.017221652,,
l3,SMESG000017012.1,0.06796984,0.08524309,-0.017273255,,
l3,SMESG000020135.1,0.057382066,0.07482795,-0.01744588,,
l3,SMESG000016195.1,0.069734275,0.087566346,-0.01783207,,
l3,SMESG000038055.1,0.67282134,0.69083375,-0.018012404,,
l3,SMESG000035313.1,0.5809384,0.59934264,-0.018404245,,
l3,SMESG000024670.1,0.058754522,0.07731154,-0.018557016,,
l3,SMESG000013909.1,0.22083771,0.23946421,-0.018626496,,
l3,SMESG000065264.1,0.07326352,0.09189262,-0.018629104,,
l3,SMESG000038052.1,0.7476433,0.76670355,-0.019060254,,
l3,SMESG000019381.1,0.053918183,0.073786475,-0.019868292,,
l3,SMESG000022030.1,0.06372158,0.08364068,-0.019919097,,
l3,SMESG000031958.1,0.14149511,0.16207346,-0.020578355,,
l3,SMESG000028264.1,0.08280558,0.1042305,-0.02142492,,
l3,SMESG000062685.1,0.064636596,0.08652494,-0.021888345,,
l3,SMESG000014588.1,0.053199276,0.07514843,-0.021949157,,
l3,SMESG000034921.1,0.8838355,0.90586334,-0.02202785,,
l3,SMESG000023253.1,0.11639855,0.13859984,-0.022201292,,
l3,SMESG000074196.1,0.06888457,0.09141193,-0.022527367,,
l3,SMESG000024479.1,0.057185978,0.079715036,-0.022529058,,
l3,SMESG000042474.1,0.06463659,0.08740619,-0.0227696,,
l3,SMESG000016219.1,0.06764291,0.091011435,-0.023368523,,
l3,SMESG000055438.1,0.04274238,0.066175535,-0.023433156,,
l3,SMESG000014241.1,0.77535063,0.79883015,-0.023479521,,
l3,SMESG000060068.1,0.053395327,0.07715135,-0.023756023,,
l3,SMESG000016993.1,0.3761237,0.40001538,-0.023891687,,
l3,SMESG000045132.1,0.22312516,0.24795668,-0.024831519,,
l3,SMESG000031786.1,0.05176144,0.07691099,-0.025149547,,
l3,SMESG000016192.1,0.04993145,0.07554907,-0.025617622,,
l3,SMESG000051108.1,0.06849248,0.094135925,-0.025643446,,
l3,SMESG000045474.1,0.0631987,0.08884823,-0.025649533,,
l3,SMESG000051918.1,0.06502865,0.09077104,-0.02574239,,
l3,SMESG000027217.1,0.04829764,0.07410697,-0.025809329,,
l3,SMESG000040933.1,0.14286757,0.16928393,-0.026416361,,
l3,SMESG000056697.1,0.059604153,0.08604422,-0.02644007,,
l3,SMESG000004344.1,0.05169608,0.078272976,-0.026576895,,
l3,SMESG000077471.1,0.07443995,0.101105995,-0.026666045,,
l3,SMESG000009490.1,0.056467067,0.083560616,-0.027093548,,
l3,SMESG000035878.1,0.054441065,0.08179811,-0.027357042,,
l3,SMESG000053168.1,0.09581139,0.12337832,-0.027566932,,
l3,SMESG000016646.1,0.050192922,0.07851334,-0.028320417,,
l3,SMESG000032489.1,0.06117264,0.089569345,-0.028396703,,
l3,SMESG000033840.1,0.04777474,0.076510444,-0.028735705,,
l3,SMESG000079498.1,0.062152997,0.09093131,-0.028778315,,
l3,SMESG000052978.1,0.054114264,0.08307993,-0.028965663,,
l3,SMESG000067672.1,0.05006226,0.07915424,-0.029091977,,
l3,SMESG000078548.1,0.06855794,0.09766109,-0.029103152,,
l3,SMESG000042333.1,0.8043009,0.8335154,-0.029214501,,
l3,SMESG000040062.1,0.05672852,0.08604426,-0.02931574,,
l3,SMESG000043630.1,0.062479746,0.09189269,-0.029412944,,
l3,SMESG000079158.1,0.057708785,0.087165825,-0.02945704,,
l3,SMESG000028017.1,0.057251345,0.086845405,-0.02959406,,
l3,SMESG000078177.1,0.06332939,0.09293418,-0.029604785,,
l3,SMESG000056380.1,0.0523497,0.0820385,-0.029688798,,
l3,SMESG000067659.1,0.050389044,0.080355994,-0.02996695,,
l3,SMESG000071551.1,0.034638226,0.06513407,-0.030495845,,
l3,SMESG000002945.1,0.0584931,0.089008585,-0.030515485,,
l3,SMESG000068390.1,0.06078052,0.09141198,-0.030631457,,
l3,SMESG000004952.1,0.041892733,0.07322574,-0.031333003,,
l3,SMESG000043601.1,0.08489689,0.11672863,-0.03183174,,
l3,SMESG000052592.1,0.41984713,0.4517702,-0.031923056,,
l3,SMESG000060121.1,0.040781703,0.07274509,-0.03196339,,
l3,SMESG000069969.1,0.044049516,0.07619001,-0.032140493,,
l3,SMESG000011963.1,0.047709413,0.08003555,-0.03232614,,
l3,SMESG000037574.1,0.04574879,0.0781128,-0.032364015,,
l3,SMESG000027311.1,0.12156155,0.15398176,-0.03242021,,
l3,SMESG000061029.1,0.061368786,0.093895644,-0.03252686,,
l3,SMESG000010552.1,0.05045434,0.082999825,-0.032545485,,
l3,SMESG000075570.1,0.039670657,0.072264366,-0.03259371,,
l3,SMESG000068141.1,0.112803906,0.14540957,-0.032605663,,
l3,SMESG000062092.1,0.047186535,0.08003555,-0.032849018,,
l3,SMESG000049241.1,0.07692346,0.11015911,-0.033235647,,
l3,SMESG000003375.1,0.07149896,0.1052721,-0.03377314,,
l3,SMESG000016354.1,0.04457237,0.078353204,-0.033780836,,
l3,SMESG000071275.1,0.07679271,0.11063988,-0.033847168,,
l3,SMESG000068863.1,0.113718815,0.14757279,-0.03385397,,
l3,SMESG000051914.1,0.12130001,0.15518355,-0.03388354,,
