interface,gene,mean_bulge,mean_dent,lfc,p_geomnull,null_sd
1-muscle,Gm42418,3.866349,3.1458132,0.72053576,0.009950248756218905,0.1663101552619743
1-muscle,Rpl35,2.3911045,1.8124161,0.5786884,0.7562189054726368,0.018869073113474216
1-muscle,Lars2,1.5596645,1.0395873,0.5200772,0.01990049751243781,0.10290252957753587
1-muscle,Gm10076,0.81144214,0.3831338,0.42830834,0.7164179104477612,0.014399863111243501
1-muscle,Hmgn2,1.7053735,1.314743,0.39063048,0.3582089552238806,0.030024094776991635
1-muscle,Eno1,0.89077085,0.54171664,0.34905422,0.8208955223880597,0.018289886644394696
1-muscle,Malat1,1.4223673,1.105782,0.3165853,,
1-muscle,Rps29,3.7542627,3.4723058,0.2819569,,
1-muscle,Erh,0.8414828,0.58559245,0.25589037,,
1-muscle,Hist1h2ap,0.28520587,0.062003724,0.22320214,,
1-muscle,Sfrp2,1.4060856,1.187833,0.21825266,,
1-muscle,Rpl10,2.621419,2.4095807,0.21183825,,
1-muscle,Polr2l,0.45452467,0.25062025,0.20390442,,
1-muscle,Rps27,3.572572,3.3876905,0.18488145,,
1-muscle,Uba52,1.8995821,1.7188236,0.1807586,,
1-muscle,Tmsb10,3.319864,3.1478398,0.17202425,,
1-muscle,Pdap1,1.0606365,0.8901552,0.17048132,,
1-muscle,Gstp1,0.23347056,0.06476352,0.16870704,,
1-muscle,Actb,3.6316776,3.4808397,0.1508379,,
1-muscle,Psap,0.7915497,0.64143735,0.15011233,,
1-muscle,Tnnt2,0.8571906,0.7090371,0.14815348,,
1-muscle,Jund,0.53837734,0.39455965,0.1438177,,
1-muscle,Rpl37a,3.514843,3.3731441,0.14169884,,
1-muscle,Cbx3,1.2653344,1.1252265,0.14010787,,
1-muscle,Nnat,1.2655038,1.1273978,0.13810599,,
1-muscle,Eif3b,0.7796812,0.64227957,0.13740164,,
1-muscle,Sap18,0.5792815,0.44322076,0.13606074,,
1-muscle,Barx1,0.16822903,0.03877883,0.1294502,,
1-muscle,Stmn1,1.9343114,1.8056163,0.12869513,,
1-muscle,Pebp1,1.334303,1.2057915,0.12851155,,
1-muscle,Sumo3,0.74559325,0.61759305,0.1280002,,
1-muscle,Rpl13a,1.5734776,1.4454988,0.1279788,,
1-muscle,Cxcl14,0.5016427,0.37414277,0.12749994,,
1-muscle,Rpl38,3.5785334,3.4563339,0.122199535,,
1-muscle,mt-Co1,3.6819963,3.5615065,0.120489836,,
1-muscle,Eef1g,2.129359,2.0146258,0.11473322,,
1-muscle,0610010K14Rik,0.24063681,0.12769666,0.11294015,,
1-muscle,Psmb5,0.93396974,0.82158697,0.11238277,,
1-muscle,Rpsa,3.372053,3.2596939,0.11235905,,
1-muscle,Krt15,0.19144472,0.08041889,0.11102583,,
1-muscle,Nr2f1,0.3219446,0.21098562,0.11095898,,
1-muscle,Adrm1,0.3701759,0.26182497,0.10835093,,
1-muscle,Cd248,0.4298028,0.3218735,0.10792932,,
1-muscle,Eef1d,1.2782699,1.1706831,0.10758674,,
1-muscle,Dynlt1f,0.46560737,0.35833153,0.10727584,,
1-muscle,Hspa8,2.7551026,2.6507988,0.10430384,,
1-muscle,Rplp2,3.3501253,3.2466688,0.1034565,,
1-muscle,Ftl1,2.8593435,2.7562284,0.10311508,,
1-muscle,Tubb4b,0.9289591,0.826093,0.10286605,,
1-muscle,Hmgb1,2.1809108,2.078832,0.102078915,,
1-muscle,Gipc1,0.24968745,0.14780834,0.101879105,,
1-muscle,Eif1,2.010351,1.9093829,0.100968,,
1-muscle,Lrrc17,0.6099399,0.51184475,0.09809512,,
1-muscle,Actg1,2.843395,2.7453394,0.0980556,,
1-muscle,Itm2c,0.5822433,0.48419413,0.09804919,,
1-muscle,Tmem164,0.2278878,0.13050246,0.09738533,,
1-muscle,Prrx1,0.828151,0.7316075,0.09654349,,
1-muscle,Nsa2,1.3765199,1.2800518,0.09646809,,
1-muscle,Hsp90ab1,2.857129,2.7622364,0.09489274,,
1-muscle,Gm8186,0.22002131,0.12519951,0.094821796,,
1-muscle,D8Ertd738e,1.0230118,0.9282703,0.09474152,,
1-muscle,Pgk1,1.3001977,1.2056684,0.09452927,,
1-muscle,Pgam1,1.1974355,1.1035504,0.093885064,,
1-muscle,Cd24a,1.1131588,1.019974,0.09318483,,
1-muscle,Zfp36l2,0.49885777,0.40660378,0.09225398,,
1-muscle,Rpl31,2.8320663,2.7418048,0.09026146,,
1-muscle,Ttc3,1.1050838,1.0149087,0.09017515,,
1-muscle,mt-Atp8,0.3629554,0.27424324,0.088712156,,
1-muscle,Fth1,2.3117058,2.2234786,0.08822727,,
1-muscle,Ahnak,0.65440243,0.56626976,0.08813268,,
1-muscle,Fabp5,1.496598,1.408519,0.088078976,,
1-muscle,Hnrnpa1,2.085663,1.9980872,0.08757591,,
1-muscle,U2af1,0.6954019,0.6079262,0.08747572,,
1-muscle,Reep5,0.6106261,0.524243,0.086383104,,
1-muscle,Tmem55a,0.31603095,0.2298225,0.08620845,,
1-muscle,Anp32a,0.6280844,0.5424577,0.08562672,,
1-muscle,Rpl10a,2.9811513,2.8960476,0.08510375,,
1-muscle,Ldhb,0.60079145,0.5163348,0.08445668,,
1-muscle,Rpl26,3.2639246,3.1818194,0.08210516,,
1-muscle,Slc39a1,0.32447505,0.24285057,0.08162448,,
1-muscle,Pitx1,0.19994038,0.11997548,0.079964906,,
1-muscle,Hmga1,0.13265231,0.05309389,0.07955842,,
1-muscle,Stub1,0.7328164,0.6533136,0.07950282,,
1-muscle,Sept9,0.9613838,0.8819522,0.07943159,,
1-muscle,Hnrnpa3,1.7901219,1.7108194,0.07930255,,
1-muscle,Ahsa1,0.31647435,0.23771472,0.078759626,,
1-muscle,Ddx17,1.2822449,1.2038738,0.07837117,,
1-muscle,Mybph,0.86399025,0.7860356,0.07795465,,
1-muscle,Fus,0.8544488,0.7765705,0.0778783,,
