gene,obs_lfc,null_sd,p_geomnull,interface
PCP4,0.099071324,0.014694341189054288,0.736318407960199,molecular layer|rest
ALDOC,0.0968917,0.0074379484839136615,0.004975124378109453,molecular layer|rest
GRID2,0.07017088,0.011461622385009532,0.009950248756218905,molecular layer|rest
PCP2,0.0495165,0.006491336088689007,0.07960199004975124,molecular layer|rest
HPCAL1,0.045271292,0.0022178296420926153,0.004975124378109453,molecular layer|rest
NSG1,0.0395346,0.0022767128662710815,0.004975124378109453,molecular layer|rest
ND1,-0.19757819,0.03444197398928594,0.05472636815920398,molecular layer|rest
ND3,-0.23373497,0.020794954278242555,0.48756218905472637,molecular layer|rest
ND4,-0.2568953,0.0721701927838204,0.2537313432835821,molecular layer|rest
ATP6,-0.30940533,0.10522883554054101,0.5621890547263682,molecular layer|rest
COX3,-1.158268,0.16404620046315563,0.8656716417910447,molecular layer|rest
TTR,-2.270473,0.33653269742806385,0.004975124378109453,molecular layer|rest
KCNIP4,0.079603195,0.04422821714330018,0.22885572139303484,granular layer|rest
RBFOX1,0.041271448,0.042695943101351296,0.34328358208955223,granular layer|rest
ZNF804B,0.028026164,0.008982237267293799,0.13432835820895522,granular layer|rest
FGF14,0.026243687,0.016621957908650294,0.4129353233830846,granular layer|rest
TRPM3,0.01960361,0.006804556122096883,0.681592039800995,granular layer|rest
PDE3A,0.0130600035,0.0032224394995609253,0.3283582089552239,granular layer|rest
ND2,-0.6761339,0.045320308928834735,0.004975124378109453,granular layer|rest
ND1,-0.7809386,0.05181062535369429,0.004975124378109453,granular layer|rest
COX2,-1.1933994,0.11462586120930883,0.004975124378109453,granular layer|rest
ND4,-1.2334847,0.10491439884453667,0.004975124378109453,granular layer|rest
ATP6,-1.6264181,0.1450640197532708,0.004975124378109453,granular layer|rest
COX3,-3.759428,0.2267891133764545,0.004975124378109453,granular layer|rest
KCNIP4,0.09108019,0.013554611493993783,0.24378109452736318,purkinje layer|rest
S100B,0.08369994,0.01754505798309977,1.0,purkinje layer|rest
RBFOX1,0.078953624,0.012555493045441433,0.30845771144278605,purkinje layer|rest
HPCAL1,0.061861753,0.012150539499494744,1.0,purkinje layer|rest
KCND2,0.04933721,0.009253099210785225,0.27860696517412936,purkinje layer|rest
APOE,0.048560858,0.024774096940838052,1.0,purkinje layer|rest
PVALB,-0.3670504,0.027130088900839146,0.004975124378109453,purkinje layer|rest
ALDOC,-0.3908429,0.05915371490004546,0.004975124378109453,purkinje layer|rest
COX2,-0.39837694,0.07664684519009585,0.004975124378109453,purkinje layer|rest
ND4,-0.5664029,0.08591755856156295,0.004975124378109453,purkinje layer|rest
ATP6,-0.7986698,0.1158413992639257,0.004975124378109453,purkinje layer|rest
COX3,-2.1915073,0.1842463524146965,0.004975124378109453,purkinje layer|rest
MBP,0.6469321,0.11206126075485945,0.004975124378109453,white matter|rest
COX3,0.26502514,0.17672616543752712,1.0,white matter|rest
COX2,0.26068032,0.0683373442799934,1.0,white matter|rest
ND4,0.19927597,0.08235127506142875,1.0,white matter|rest
SNAP25,0.14670289,0.031373171475942666,1.0,white matter|rest
ATP6,0.13763475,0.11400591180451715,1.0,white matter|rest
CDK19,-0.00030307472,0.0038181837409702866,1.0,white matter|rest
ENTPD4,-0.0004235208,0.0049595015654576935,1.0,white matter|rest
PCP2,-0.0029580295,0.014016951604714967,0.9850746268656716,white matter|rest
ND4L,-0.00614278,0.005155322918762849,0.7412935323383084,white matter|rest
COX1,-0.011567056,0.019786982741723743,0.9800995024875622,white matter|rest
GFAP,-0.014814138,0.03188247995571746,0.9900497512437811,white matter|rest
