interface,gene,obs_lfc,null_sd,p_geomnull
midgut,epsilonTry,0.7886218,0.11172516586500728,0.004975124378109453
midgut,deltaTry,0.5323342,0.19447503580192602,0.014925373134328358
midgut,Jon99Ciii,0.5074446,0.12224059978072754,0.004975124378109453
midgut,Jon99Cii,0.45527935,0.1293266644534947,0.004975124378109453
midgut,Jon25Bii,0.44626898,0.11478541068201313,0.01990049751243781
midgut,CG18180,0.38569272,0.08517208057445455,0.004975124378109453
midgut,Lcp65Ag3,-0.24220085,0.04618504059440403,0.004975124378109453
midgut,CG8997,-0.24706858,0.07499633511182571,0.014925373134328358
midgut,CG31343,-0.28175542,0.07112321265292816,0.004975124378109453
midgut,Nplp2,-0.28486204,0.027588223403444898,0.004975124378109453
midgut,CG34282,-0.31708497,0.09352362148647009,0.5970149253731343
midgut,LManVI,-0.34907803,0.07903795774570056,0.004975124378109453
epidermis,epsilonTry,0.59301066,0.040710471025487485,0.9303482587064676
epidermis,pre-rRNA:CR45856,0.4274829,0.044999255547760714,0.12437810945273632
epidermis,betaTry,0.3194104,0.024094249014975415,0.9253731343283582
epidermis,Lcp65Ac,0.30283955,0.09615308177699099,0.009950248756218905
epidermis,TwdlO,0.25410533,0.061302091191173434,0.9651741293532339
epidermis,CG13230,0.25217652,0.027568249852688735,0.42786069651741293
epidermis,Lcp65Ag3,-0.32959056,0.07690357644816687,0.004975124378109453
epidermis,CG30457,-0.3483262,0.053646220062725264,0.16417910447761194
epidermis,CG14300,-0.3536303,0.017012795712907702,0.014925373134328358
epidermis,CG42305,-0.37226057,0.05421788836979711,0.009950248756218905
epidermis,Lcp65Ag1,-0.4169557,0.06426031666129778,0.004975124378109453
epidermis,CG34282,-0.6563934,0.021304732079134032,0.03482587064676617
carcass,pre-rRNA:CR45856,0.5422446,0.07875036670731418,0.004975124378109453
carcass,epsilonTry,0.42005897,0.07593477799396064,0.08955223880597014
carcass,betaTry,0.29642272,0.04090429294919298,0.004975124378109453
carcass,Jon25Bii,0.19528604,0.06917777318647109,0.05970149253731343
carcass,18SrRNA-Psi:CR41602,0.15194869,0.03420378982660799,0.009950248756218905
carcass,Obp28a,0.14059743,0.010904529341375091,0.5373134328358209
carcass,RpS3,-0.21234119,0.04217120886483858,0.01990049751243781
carcass,Lcp65Ag1,-0.22472256,0.04089717393791638,0.004975124378109453
carcass,RpS27,-0.24517447,0.03411019561160821,0.03482587064676617
carcass,CG13545,-0.2845292,0.08991470294145217,0.04477611940298507
carcass,Nplp2,-0.29607338,0.06580459588924169,0.22388059701492538
carcass,CG34282,-0.38631022,0.05742701604542763,0.9402985074626866
fat body,Sgs7,2.2999184,0.05345187034249341,0.34328358208955223
fat body,Sgs8,1.9703752,0.05069783255910859,0.31343283582089554
fat body,Sgs5,1.7437282,0.05258491339860561,0.3482587064676617
fat body,Sgs3,1.5002092,0.04911922167783429,0.3681592039800995
fat body,CG7606,1.4581134,0.03197887594022087,0.373134328358209
fat body,CG12310,1.0293769,0.05546698417898056,0.8258706467661692
fat body,deltaTry,-0.5947057,0.08724409276690982,0.014925373134328358
fat body,betaTub85D,-0.62263775,0.027095500953130857,0.12935323383084577
fat body,CG34168,-0.6321349,0.02873224637701297,0.3582089552238806
fat body,CG9682,-0.6522999,0.06128963729912326,0.009950248756218905
fat body,CG14302,-0.70848143,0.07917569814721657,0.009950248756218905
fat body,Jon65Aiv,-0.7135782,0.0775464131470733,0.01990049751243781
