specimen,interface,gene,obs_lfc,null_sd,p_geomnull
PUPA-72h_cellbin,CNS primordium,CG13071,0.5139538,0.04539482363215752,0.009950248756218905
PUPA-72h_cellbin,CNS primordium,CG42540,0.3148468,0.018934459529152913,0.9601990049751243
PUPA-72h_cellbin,CNS primordium,VGlut,0.2948124,0.03227249246283461,0.01990049751243781
PUPA-72h_cellbin,CNS primordium,CG8369,0.29378444,0.0243198575317536,0.39800995024875624
PUPA-72h_cellbin,CNS primordium,RpL15,0.23693156,0.025447342362923314,0.04477611940298507
PUPA-72h_cellbin,CNS primordium,Obp44a,0.2195592,0.06939681950774912,0.23383084577114427
PUPA-72h_cellbin,CNS primordium,lncRNA:CR40469,-0.28316236,0.06349964006844683,0.7810945273631841
PUPA-72h_cellbin,CNS primordium,CG7214,-0.30710793,0.04538976114110258,0.7064676616915423
PUPA-72h_cellbin,CNS primordium,18SrRNA-Psi:CR41602,-0.32841754,0.03469738024255247,0.900497512437811
PUPA-72h_cellbin,CNS primordium,lncRNA:CR34335,-0.3410313,0.06573908029665479,0.7512437810945274
PUPA-72h_cellbin,CNS primordium,pre-rRNA:CR45856,-0.55784106,0.05641618165950787,0.6517412935323383
PUPA-72h_cellbin,CNS primordium,lncRNA:noe,-0.7014444,0.06318551675590879,0.15920398009950248
PUPA-72h_cellbin,midgut primordium,CG9568,0.51917255,0.21239378384957708,0.01990049751243781
PUPA-72h_cellbin,midgut primordium,eEF1alpha1,0.41686952,0.05712708191925347,0.004975124378109453
PUPA-72h_cellbin,midgut primordium,lncRNA:CR40469,0.35995603,0.1185677422421441,0.0945273631840796
PUPA-72h_cellbin,midgut primordium,RpLP2,0.35935974,0.1023862598118775,0.014925373134328358
PUPA-72h_cellbin,midgut primordium,RpL36,0.3371994,0.06759627804030488,0.009950248756218905
PUPA-72h_cellbin,midgut primordium,lncRNA:CR34335,0.33650696,0.12268895244947012,0.0845771144278607
PUPA-72h_cellbin,midgut primordium,CG44013,-0.4622208,0.1354501595637875,0.004975124378109453
PUPA-72h_cellbin,midgut primordium,Ag5r2,-0.51032495,0.12780984406294257,0.004975124378109453
PUPA-72h_cellbin,midgut primordium,CG43218,-0.8734791,0.25810091833747795,0.004975124378109453
PUPA-72h_cellbin,midgut primordium,CG18180,-1.259403,0.2928295367566649,0.004975124378109453
PUPA-72h_cellbin,midgut primordium,CG42397,-1.2841693,0.2612339899966049,0.004975124378109453
PUPA-72h_cellbin,midgut primordium,Drsl2,-1.3446101,0.3200814151790555,0.004975124378109453
PUPA-72h_cellbin,epidermis,Acp65Aa,0.72832894,0.14274827990236025,0.004975124378109453
PUPA-72h_cellbin,epidermis,lncRNA:CR40469,0.7055471,0.07047987599634924,0.004975124378109453
PUPA-72h_cellbin,epidermis,lncRNA:CR34335,0.6960285,0.07447771369267385,0.004975124378109453
PUPA-72h_cellbin,epidermis,Cpr49Ah,0.68707275,0.11033472343207047,0.004975124378109453
PUPA-72h_cellbin,epidermis,CG13231,0.6696242,0.15127970751581774,0.1044776119402985
PUPA-72h_cellbin,epidermis,Cpr30B,0.6672399,0.17976377492332976,0.2537313432835821
PUPA-72h_cellbin,epidermis,Act88F,-0.062606215,0.026999099288989276,0.13432835820895522
PUPA-72h_cellbin,epidermis,28SrRNA-Psi:CR45859,-0.07773578,0.03393487310853678,0.9850746268656716
PUPA-72h_cellbin,epidermis,mt:ND5,-0.098757535,0.019818448770590566,0.27860696517412936
PUPA-72h_cellbin,epidermis,mt:ND6,-0.113782644,0.01864055083553533,0.845771144278607
PUPA-72h_cellbin,epidermis,CG17777,-0.11667827,0.0367613747832002,0.014925373134328358
PUPA-72h_cellbin,epidermis,mt:lrRNA,-0.33741093,0.04082175391180816,0.9850746268656716
PUPA-72h_cellbin,somatic muscle,RpLP2,0.6378021,0.0790213286513334,0.004975124378109453
PUPA-72h_cellbin,somatic muscle,RpL39,0.58926105,0.08612358148032485,0.004975124378109453
PUPA-72h_cellbin,somatic muscle,RpL41,0.5806544,0.09080973821308308,0.004975124378109453
PUPA-72h_cellbin,somatic muscle,TpnC73F,0.5510335,0.13020179775218865,0.004975124378109453
PUPA-72h_cellbin,somatic muscle,Act57B,0.5297291,0.12534275755241678,0.004975124378109453
PUPA-72h_cellbin,somatic muscle,mt:CoI,0.50097585,0.07612006797271786,0.01990049751243781
PUPA-72h_cellbin,somatic muscle,pre-rRNA:CR45856,-0.12202835,0.09451633992669327,0.572139303482587
PUPA-72h_cellbin,somatic muscle,CG8736,-0.12616187,0.05009731804473491,0.03980099502487562
PUPA-72h_cellbin,somatic muscle,CG18367,-0.16476679,0.06942548456332308,0.01990049751243781
PUPA-72h_cellbin,somatic muscle,mt:ND6,-0.16707253,0.040911265814583764,0.19900497512437812
PUPA-72h_cellbin,somatic muscle,Cpr64Aa,-0.16906565,0.06199574465708845,0.029850746268656716
PUPA-72h_cellbin,somatic muscle,Act87E,-0.46681595,0.15298102643538905,0.009950248756218905
