gene,obs_lfc,null_sd,p_geomnull,interface
PTHLH,0.21126086,0.022363554426041397,0.004975124378109453,tumor|nontumor
FTH1,0.13925421,0.012591779507655198,0.004975124378109453,tumor|nontumor
SLC2A1,0.13762024,0.011898344090845532,0.004975124378109453,tumor|nontumor
KRT17,0.1267215,0.011050886692524508,0.004975124378109453,tumor|nontumor
AMTN,0.11444235,0.020788094175765923,0.004975124378109453,tumor|nontumor
EGLN3,0.09615427,0.006419106493271485,0.004975124378109453,tumor|nontumor
RPS27A,-0.06479633,0.0050838735906949825,0.004975124378109453,tumor|nontumor
MT-ND3,-0.079108,0.007337232911604833,0.004975124378109453,tumor|nontumor
IGHG3,-0.08431721,0.020905466316943653,0.004975124378109453,tumor|nontumor
RPS29,-0.11426735,0.00821729409523739,0.004975124378109453,tumor|nontumor
DHCR7,-0.12283142,0.006937121195074949,0.004975124378109453,tumor|nontumor
IGKC,-0.21526241,0.022610964671349872,0.004975124378109453,tumor|nontumor
