interface,gene,obs_lfc,null_sd,p_geomnull
1-muscle,Gm42418,0.72053623,0.1663101552619743,0.009950248756218905
1-muscle,Rpl35,0.5786884,0.018869073113474216,0.7562189054726368
1-muscle,Lars2,0.5200763,0.10290252957753587,0.01990049751243781
1-muscle,Gm10076,0.42830923,0.014399863111243501,0.7164179104477612
1-muscle,Hmgn2,0.3906294,0.030024094776991635,0.3582089552238806
1-muscle,Eno1,0.34905368,0.018289886644394696,0.8208955223880597
1-muscle,Rpl36a-ps1,-0.2981005,0.019143361680203714,0.11940298507462686
1-muscle,Igfbp5,-0.32605934,0.05444030418939151,0.004975124378109453
1-muscle,Ftl1-ps1,-0.33595788,0.017196703541807093,0.6965174129353234
1-muscle,Igf2,-0.52761114,0.026423383024159867,0.582089552238806
1-muscle,Rps27rt,-0.54189825,0.027053522892460973,0.34328358208955223
1-muscle,Wdr89,-0.6205119,0.030890308491663833,0.27860696517412936
2-craniofacial primordium,Cxcl14,0.44584376,0.09509783565469546,0.004975124378109453
2-craniofacial primordium,Twist2,0.23246515,0.0504599765601291,0.004975124378109453
2-craniofacial primordium,Dcn,0.22326344,0.062232494796103585,0.004975124378109453
2-craniofacial primordium,Vgll3,0.22251919,0.03304796301337749,0.004975124378109453
2-craniofacial primordium,Pax1,0.20261614,0.02655450350398681,0.004975124378109453
2-craniofacial primordium,Lef1,0.18562326,0.035065197928638256,0.004975124378109453
2-craniofacial primordium,Foxf2,-0.23803237,0.04789322119671948,0.004975124378109453
2-craniofacial primordium,Hbb-bs,-0.23875022,0.05400507242872218,0.004975124378109453
2-craniofacial primordium,Ibsp,-0.26018023,0.10841923430791538,0.5174129353233831
2-craniofacial primordium,Peg3,-0.27061403,0.05197769987567255,0.004975124378109453
2-craniofacial primordium,Capn6,-0.30944037,0.07428870654867517,0.004975124378109453
2-craniofacial primordium,Msx1,-0.34266198,0.061426044301204644,0.004975124378109453
3-endochondral bone,Sfrp2,0.52075994,0.07857490766703036,0.7512437810945274
3-endochondral bone,Rpl35,0.44296896,0.02829072851240474,0.6368159203980099
3-endochondral bone,Gm42418,0.36942482,0.20108733673430698,0.11442786069651742
3-endochondral bone,Smoc2,0.35422593,0.04964691922124407,0.009950248756218905
3-endochondral bone,Lars2,0.33237064,0.15253529229385693,0.03980099502487562
3-endochondral bone,Uba52,0.32073557,0.02505171935100493,0.746268656716418
3-endochondral bone,Ftl1-ps1,-0.23421332,0.019250123462710142,0.09950248756218906
3-endochondral bone,Hbb-bt,-0.25145364,0.09121145907475502,0.21393034825870647
3-endochondral bone,Mest,-0.26049376,0.048174768003225926,0.03482587064676617
3-endochondral bone,Hbb-y,-0.28648162,0.09201986232052983,0.11442786069651742
3-endochondral bone,Ibsp,-0.35188156,0.020038091475246034,0.004975124378109453
3-endochondral bone,Postn,-0.38071692,0.08958382356523387,0.004975124378109453
4-primordium of chondrocranium,Mylpf,0.46586615,0.21026073821648053,0.12437810945273632
4-primordium of chondrocranium,Actc1,0.42482552,0.19431357622521597,0.26865671641791045
4-primordium of chondrocranium,Dlk1,0.4006145,0.10796727815999405,0.004975124378109453
4-primordium of chondrocranium,Acta1,0.363325,0.1651210398060294,0.07462686567164178
4-primordium of chondrocranium,Myh3,0.3317812,0.13627325592274506,0.05472636815920398
4-primordium of chondrocranium,Myl4,0.32818824,0.14430996051290276,0.03482587064676617
4-primordium of chondrocranium,Hba-a1,-0.44232726,0.17409988833641443,0.029850746268656716
4-primordium of chondrocranium,Hba-x,-0.48199415,0.18648112038720976,0.04477611940298507
4-primordium of chondrocranium,Hbb-bs,-0.48363805,0.16408451742446503,0.03980099502487562
4-primordium of chondrocranium,Ttr,-0.4986023,0.10311783337012352,0.9800995024875622
4-primordium of chondrocranium,Hbb-bt,-0.5043566,0.17319608096013192,0.029850746268656716
4-primordium of chondrocranium,Hbb-y,-0.5373013,0.20557716415899208,0.024875621890547265
