gene,obs_lfc,null_sd,p_geomnull,interface
fabp1b.1,0.38958025,0.08081757867002809,0.7263681592039801,Yolk Syncytial Layer
gpx4a,0.37604558,0.11394512517726582,0.835820895522388,Yolk Syncytial Layer
AL935186.10,0.35937524,0.033977436206688263,0.6368159203980099,Yolk Syncytial Layer
rps17,0.35153675,0.03621948053560248,0.05472636815920398,Yolk Syncytial Layer
glula,0.35026932,0.08234955869242717,0.900497512437811,Yolk Syncytial Layer
anxa1a,0.3274957,0.05938667555446241,0.6169154228855721,Yolk Syncytial Layer
tuba8l4,-0.24105513,0.04900665973040043,0.7711442786069652,Yolk Syncytial Layer
khdrbs1a,-0.26807046,0.04940508123507669,0.6318407960199005,Yolk Syncytial Layer
si:ch211-222l21.1,-0.27947688,0.07979398425872274,0.9552238805970149,Yolk Syncytial Layer
snu13b,-0.29371595,0.053860929296583114,0.9850746268656716,Yolk Syncytial Layer
galnt7,-0.30614042,0.05997907761408845,0.9800995024875622,Yolk Syncytial Layer
serbp1a,-0.42856538,0.04962894981340082,0.9402985074626866,Yolk Syncytial Layer
AL935186.10,0.7759887,0.03338815071776787,0.527363184079602,"Segmental Plate, Tail Bud"
msgn1,0.45360672,0.05038773310670209,0.8805970149253731,"Segmental Plate, Tail Bud"
NC-002333.4,0.38014603,0.02335612913692604,0.5771144278606966,"Segmental Plate, Tail Bud"
hnrnpa0b,0.321069,0.026250972037240188,0.0845771144278607,"Segmental Plate, Tail Bud"
ctsll,0.29747725,0.026735933573124034,0.09950248756218906,"Segmental Plate, Tail Bud"
anp32e,0.2735821,0.026575645905087045,0.5422885572139303,"Segmental Plate, Tail Bud"
rps9,-0.2564118,0.03243747763759303,0.3333333333333333,"Segmental Plate, Tail Bud"
dynll1,-0.26196855,0.021855658428550345,0.5970149253731343,"Segmental Plate, Tail Bud"
hmgb2b,-0.27277946,0.02833771370869599,0.3333333333333333,"Segmental Plate, Tail Bud"
rpl7a,-0.27699518,0.026825636536286123,0.09950248756218906,"Segmental Plate, Tail Bud"
tuba8l4,-0.28302455,0.027506180722673045,0.1890547263681592,"Segmental Plate, Tail Bud"
naca,-0.3173468,0.03204521667662465,0.6218905472636815,"Segmental Plate, Tail Bud"
cyt1,0.5938494,0.07148407547169565,0.004975124378109453,Notochord
pcna,0.5752945,0.06307246897859144,0.004975124378109453,Notochord
krt4,0.5737059,0.06908832851947792,0.004975124378109453,Notochord
krt5,0.5021254,0.07541769699295074,0.004975124378109453,Notochord
fabp3,0.50179386,0.04577424224283807,0.004975124378109453,Notochord
h2az2b,0.484061,0.0394620145631664,0.004975124378109453,Notochord
slc38a8b,-0.41394833,0.05116773432385085,0.004975124378109453,Notochord
col2a1b,-0.42180884,0.06084421465663727,0.004975124378109453,Notochord
serpinh1b,-0.42467248,0.05101673196887765,0.004975124378109453,Notochord
hapln1a,-0.42554557,0.06577177058334756,0.004975124378109453,Notochord
cmn,-0.46787077,0.06733361585207928,0.004975124378109453,Notochord
col9a1b,-0.48717588,0.06605529422716126,0.004975124378109453,Notochord
notch3,0.32201743,0.03718644248329862,0.004975124378109453,Nervous System
lrrn1,0.2924503,0.041688519570140026,0.004975124378109453,Nervous System
si:ch73-21g5.7,0.25075102,0.035025163223809996,0.004975124378109453,Nervous System
plp1a,0.19314694,0.03309095888057198,0.004975124378109453,Nervous System
fzd7a,0.17784035,0.027072949559754363,0.004975124378109453,Nervous System
nkx6.2,0.1650306,0.01919306209367328,0.004975124378109453,Nervous System
eef2b,-0.1869309,0.017950741613066076,0.09950248756218906,Nervous System
dlb,-0.20336485,0.030817991914619786,0.6467661691542289,Nervous System
tubb5,-0.2044084,0.03609762496184048,0.7412935323383084,Nervous System
CABZ01021592.1,-0.2528191,0.018588761362318917,0.004975124378109453,Nervous System
gch2,-0.30873612,0.021861559835374654,0.004975124378109453,Nervous System
FO704772.3,-0.313143,0.010907233912806803,0.6517412935323383,Nervous System
