dataset,domain,stratum,n_stratum_cells,n_domain_cells,n_band,genuine_frac,n_survive,n_tested,max_abs_lfc,top_genes,truth_survive,truth_tested
prista4d_planarian,l3,0hpa1,329264,20628,6876,0.5311,11,12,1.8101,SMESG000040790.1;SMESG000043444.1;SMESG000007775.1;SMESG000028039.1;SMESG000055421.1;SMESG000043289.1,11,12
prista4d_planarian,l3,0hpa2,436218,37303,12435,0.4808,11,12,2.4112,SMESG000073811.1;SMESG000035518.1;SMESG000043289.1;SMESG000002628.1;SMESG000040790.1;SMESG000028039.1,11,12
prista4d_planarian,l3,10dpa1,127279,7780,2594,0.3498,3,12,1.6521,SMESG000044171.1;SMESG000042714.1;SMESG000013036.1;SMESG000040823.1;SMESG000007315.1;SMESG000040790.1,3,12
prista4d_planarian,l3,10dpa2,60567,2981,994,0.2598,10,12,1.7224,SMESG000016791.1;SMESG000051910.1;SMESG000066557.1;SMESG000043289.1;SMESG000007775.1;SMESG000025287.1,10,12
prista4d_planarian,l3,12hpa1,282452,20760,6920,0.5072,12,12,0.8916,SMESG000011269.1;SMESG000044323.1;SMESG000055421.1;SMESG000066927.1;SMESG000044171.1;SMESG000080290.1,12,12
prista4d_planarian,l3,12hpa2,239978,30373,10125,0.5166,12,12,1.031,SMESG000017801.1;SMESG000025889.1;SMESG000003087.1;SMESG000049723.1;SMESG000027140.1;SMESG000017804.1,12,12
prista4d_planarian,l3,14dpa1,90313,6255,2085,0.3367,7,12,0.8024,SMESG000047284.1;SMESG000035755.1;SMESG000043444.1;SMESG000051910.1;SMESG000007775.1;SMESG000016791.1,7,12
prista4d_planarian,l3,14dpa2,147402,8514,2838,0.2702,4,12,0.1335,SMESG000055422.1;SMESG000039758.1;SMESG000026569.1;SMESG000005578.1;SMESG000049187.1;SMESG000007128.1,4,12
prista4d_planarian,l3,36hpa1,332507,37042,12348,0.2505,9,12,1.4255,SMESG000034805.1;SMESG000042787.1;SMESG000007775.1;SMESG000058307.1;SMESG000043289.1;SMESG000013036.1,9,12
prista4d_planarian,l3,36hpa2,286589,31715,10572,0.3614,11,12,1.062,SMESG000048475.1;SMESG000058321.1;SMESG000043444.1;SMESG000007775.1;SMESG000043289.1;SMESG000058307.1,11,12
prista4d_planarian,l3,3dpa1,197835,21071,7024,0.4545,7,12,0.6187,SMESG000058307.1;SMESG000044171.1;SMESG000037994.1;SMESG000013036.1;SMESG000080290.1;SMESG000007315.1,7,12
prista4d_planarian,l3,3dpa2,219546,19529,6510,0.3448,12,12,0.6794,SMESG000025000.1;SMESG000007315.1;SMESG000043289.1;SMESG000058321.1;SMESG000080290.1;SMESG000058307.1,12,12
prista4d_planarian,l3,5dpa1,173318,17293,5765,0.3065,12,12,1.1817,SMESG000080290.1;SMESG000043289.1;SMESG000050486.1;SMESG000040823.1;SMESG000013036.1;SMESG000007315.1,12,12
prista4d_planarian,l3,5dpa2,336368,20205,6735,0.3195,11,12,1.0615,SMESG000034921.1;SMESG000042787.1;SMESG000043289.1;SMESG000058321.1;SMESG000058307.1;SMESG000007315.1,11,12
prista4d_planarian,l3,7dpa1,124052,10873,3625,0.2134,12,12,1.5116,SMESG000034805.1;SMESG000080290.1;SMESG000013036.1;SMESG000058307.1;SMESG000007315.1;SMESG000043289.1,12,12
